period,session,group,horizon,n,mean,median,skew,kurt,neg_rate
IS,深夜 03-09JST,強弱差大(Q25),24,2513,0.014871126832865546,0.020011746091615157,-0.8538127742400139,15.60666674532731,42.49900517309988
IS,深夜 03-09JST,強弱差極大(Q10),1,733,0.001814299089205272,0.0015596366047183074,-0.5761193552954478,12.945818780469489,48.0218281036835
IS,深夜 03-09JST,強弱差極大(Q10),3,733,0.007553454329578833,0.005187663736809562,0.922783154246284,9.961376840267954,45.429740791268756
IS,深夜 03-09JST,強弱差極大(Q10),6,733,0.006115493810450157,0.011030495527660156,-0.18380553510160705,7.921173818310148,44.474761255115965
IS,深夜 03-09JST,強弱差極大(Q10),12,733,0.016614015693675138,0.02725626283302107,0.07975067874923593,7.0575726948421735,39.69986357435198
IS,深夜 03-09JST,強弱差極大(Q10),24,733,0.04208754338127713,0.04328303718079914,0.3869587105692631,4.988502822210527,38.88130968622101
OOS,東京 09-15JST,強弱差極大(Q10),1,803,0.0014315273351462484,0.0021210857131596,-1.4442849898576942,32.82475776112181,46.57534246575342
OOS,東京 09-15JST,強弱差極大(Q10),3,803,-0.001879195409991421,0.006782964765074872,-2.0041113516591955,32.416310861335994,46.07721046077211
OOS,東京 09-15JST,強弱差極大(Q10),6,803,-0.0006392706627934073,0.007162261026557781,-2.072296840905999,22.751844058197463,47.3225404732254
OOS,東京 09-15JST,強弱差極大(Q10),12,803,-0.005919177557272908,0.012762060962549603,-1.7270723933108874,13.893738486632735,46.07721046077211
OOS,東京 09-15JST,強弱差極大(Q10),24,803,-0.008667756793598588,-0.008114522971938336,-1.1198973713637366,8.542232322295487,51.80572851805728
OOS,欧州 15-21JST,強弱差極大(Q10),1,872,-0.0009405736447277732,0.001390671010492358,-0.545195637225643,4.733314619335525,47.935779816513765
OOS,欧州 15-21JST,強弱差極大(Q10),3,872,-0.00045802830638132577,0.0016403663378944658,2.56591195002067,45.74589350841212,48.853211009174316
OOS,欧州 15-21JST,強弱差極大(Q10),6,872,0.005579869097836641,0.008028886551388097,1.468248113064859,22.313708812903574,47.706422018348626
OOS,欧州 15-21JST,強弱差極大(Q10),12,872,0.013783361603655647,0.010704100502168457,0.7623148890035568,11.47595851527399,46.10091743119266
OOS,欧州 15-21JST,強弱差極大(Q10),24,872,0.009556233439659891,0.017807796600067333,-0.5531888515666411,4.581256151944884,45.98623853211009
OOS,NY   21-03JST,強弱差極大(Q10),1,1063,0.0016663957350792032,0.0043521512068551305,-0.22747409083396825,2.5845884595020996,46.37817497648166
OOS,NY   21-03JST,強弱差極大(Q10),3,1063,0.00876624366334022,0.009010039269102096,0.09834990404907183,6.326289995822288,44.590780809031045
OOS,NY   21-03JST,強弱差極大(Q10),6,1063,0.014267902157153884,0.012995554587752088,-0.04505752547671805,4.698141317400012,45.06114769520226
OOS,NY   21-03JST,強弱差極大(Q10),12,1063,0.015181579265000422,0.015930737090375874,0.027815759048292407,1.1921527467776798,46.19002822201317
OOS,NY   21-03JST,強弱差極大(Q10),24,1063,0.019270368156479912,0.014067845404794534,-0.027714805420413942,0.781869662751455,45.90780809031044
