window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
6,0.001,0.5,471,0.445859872611465,0.08733322155982415,41.133947354677176,1.4967660056524204,-14.70728142847139,65,406,109,312,35,15,0.9681528662420382
3,0.0005,0.5,1976,0.458502024291498,0.10067358185708822,198.93099774960632,1.4803627564032862,-24.94449474430671,310,1666,460,1279,176,61,0.9691295546558705
6,0.001,0.1,522,0.446360153256705,0.07028154393109488,36.68696593203153,1.472546053366204,-12.736570195823532,49,473,115,353,36,18,0.9655172413793104
6,0.001,0.2,509,0.44793713163064836,0.07040783641065261,35.83758873302218,1.4496840132609126,-11.912558249396469,52,457,121,333,36,19,0.962671905697446
3,0.0015,0.2,101,0.5445544554455446,0.0740582898964811,7.479887279544591,1.4261191366523418,-8.69765197544233,19,82,37,58,5,1,0.9900990099009901
6,0.001,0.8,459,0.4444444444444444,0.07869056208175416,36.11896799552516,1.4032434418943736,-14.151607109423612,78,381,97,321,29,12,0.9738562091503268
6,0.0005,0.2,2975,0.4534453781512605,0.07632176801509727,227.05725984491437,1.395507862425885,-36.40643829718548,411,2564,722,1913,268,72,0.9757983193277311
12,0.0015,0.2,269,0.39776951672862454,0.059027532795363435,15.878406321952765,1.3907219649185465,-10.805385279684,31,238,50,193,21,5,0.9814126394052045
3,0.0005,1.0,1879,0.44278871740287384,0.09575633903959077,179.92616105539105,1.383586966267189,-28.0059102046295,393,1486,339,1317,162,61,0.9675359233634913
6,0.0005,0.5,2741,0.45311929952572055,0.08376479795517269,229.59931119512834,1.3822269648715522,-36.99367761805573,495,2246,583,1858,233,67,0.9755563662896753
6,0.0005,0.1,3081,0.45407335280753003,0.06969948819605973,214.74412313206003,1.3818706171115807,-36.40643829718548,375,2706,768,1956,279,78,0.9746835443037974
3,0.0005,0.8,1913,0.4438055410350235,0.08867309435781955,169.6316295065088,1.3749987869741445,-32.68732247271264,364,1549,369,1323,158,63,0.967067433350758
6,0.001,1.0,452,0.4269911504424779,0.0774666828248813,35.01494063684635,1.3678357683025602,-14.475611690295661,85,367,80,329,35,8,0.9823008849557522
3,0.0015,0.1,104,0.5,0.06362861929802886,6.617376406995001,1.3655571091168532,-9.049230841098655,18,86,37,62,5,0,1.0
6,0.002,0.8,73,0.4657534246575342,0.07381804132277153,5.388717016562322,1.359008776748356,-5.70110592229703,14,59,17,54,0,2,0.9726027397260274
6,0.0005,0.8,2550,0.44901960784313727,0.08092769317891371,206.36561760622996,1.318063505751915,-35.55848059354983,604,1946,471,1830,182,67,0.9737254901960785
6,0.002,0.1,82,0.5365853658536586,0.04581330585251801,3.756691079906477,1.3086180119368016,-4.307757528948882,11,71,21,53,7,1,0.9878048780487805
12,0.002,0.1,135,0.4222222222222222,0.044962163961718926,6.069892134832055,1.3047485057324404,-7.154235454665207,17,118,29,96,10,0,1.0
6,0.0005,1.0,2472,0.4372977346278317,0.08206323708842843,202.86032208259508,1.3025972906891379,-38.35515559449898,654,1818,399,1834,183,56,0.9773462783171522
6,0.002,0.5,76,0.4605263157894737,0.05063745322339918,3.8484464449783378,1.2760883636126301,-5.369641239578341,13,63,15,57,1,3,0.9605263157894737
12,0.001,0.1,907,0.4432194046306505,0.03548394402149488,32.18393722749585,1.2500795118676684,-20.873240941511618,81,826,186,622,83,16,0.9823594266813671
12,0.002,0.2,128,0.40625,0.039455790881374374,5.05034123281592,1.2468351519088074,-7.280496475500638,18,110,30,88,10,0,1.0
12,0.001,0.2,855,0.4327485380116959,0.03569346831133103,30.51791540618803,1.2337062287667457,-22.99771702760301,89,766,175,595,69,16,0.9812865497076023
24,0.003,0.1,73,0.4246575342465753,0.021972706075685734,1.6040075435250585,1.205335192038954,-3.523385539963435,6,67,12,52,8,1,0.9863013698630136
12,0.0005,0.2,3780,0.43756613756613755,0.041805909531382975,158.02633802862763,1.195005463831984,-67.21341942592383,652,3128,764,2583,346,87,0.976984126984127
3,0.002,0.1,45,0.5333333333333333,0.034887272679141115,1.56992727056135,1.185972584428828,-5.117299190051328,6,39,18,24,3,0,1.0
6,0.002,0.2,80,0.5,0.030045920637589495,2.4036736510071597,1.179138675083297,-4.912928037267674,13,67,17,57,5,1,0.9875
12,0.0005,0.1,4034,0.43604362915220624,0.034749726645794524,140.1803972891351,1.1726265990451432,-72.57992467889252,622,3412,845,2709,376,104,0.9742191373326723
12,0.0015,0.5,248,0.42338709677419356,0.0270831709134189,6.716626386527887,1.1426209360427124,-16.199358039293397,43,205,51,174,18,5,0.9798387096774194
12,0.0005,0.5,3263,0.42752068648482994,0.035394084688846465,115.49089833970602,1.136217062735635,-89.12690271341756,777,2486,615,2310,262,76,0.9767085504137297
3,0.002,0.2,44,0.5,0.028077635085674166,1.2354159437696632,1.1346466396958887,-4.799807100760999,6,38,16,26,2,0,1.0
12,0.001,0.5,760,0.44342105263157894,0.022065403359844422,16.76970655348176,1.1116375464368116,-37.70844075505437,124,636,148,532,64,16,0.9789473684210527
