window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,case_a,case_b,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
24,0.0015,1.0,424,0.2665094339622642,-0.1935603153631654,-82.06957371398212,0.47346927222628626,-96.39478367284592,136,288,93,331,84,298,31,11,0.9740566037735849
6,0.002,0.1,108,0.2777777777777778,-0.12252761935004101,-13.232982889804429,0.4721787415616401,-14.221235334997473,18,90,29,79,39,57,11,1,0.9907407407407407
3,0.003,1.0,20,0.3,-0.1391782961567806,-2.783565923135612,0.4682068491274488,-3.131681924184782,4,16,2,18,0,19,1,0,1.0
12,0.003,1.0,56,0.26785714285714285,-0.12607823826244752,-7.0603813426970605,0.46782236712798186,-6.350175618351123,12,44,10,46,17,34,4,1,0.9821428571428571
6,0.001,0.2,636,0.19025157232704404,-0.1573343289475317,-100.06463321063015,0.46288279691543843,-103.7731877803294,91,545,143,493,171,395,43,27,0.9575471698113207
24,0.002,0.8,187,0.2727272727272727,-0.1815835172268867,-33.956117721427816,0.4567937551756565,-37.735840265505395,53,134,27,160,43,125,18,1,0.9946524064171123
24,0.002,1.0,188,0.2925531914893617,-0.19167505831558038,-36.03491096332911,0.45629164052506677,-39.428648828204324,61,127,27,161,39,133,15,1,0.9946808510638298
24,0.0015,0.8,437,0.2654462242562929,-0.1950158127596474,-85.22191017596592,0.4478954497397882,-97.45290228423418,128,309,102,335,92,296,36,13,0.9702517162471396
6,0.001,0.1,665,0.1849624060150376,-0.15723934409170684,-104.56416382098504,0.44541538045934037,-107.9360379380694,80,585,159,506,166,429,43,27,0.9593984962406015
24,0.0015,0.2,603,0.25207296849087896,-0.13492561401524714,-81.36014525119403,0.43240678419305595,-82.74081739739067,70,533,203,400,123,406,64,10,0.9834162520729685
12,0.001,0.5,920,0.25217391304347825,-0.1795481824604997,-165.18432786365972,0.4262971530535276,-166.58170994989666,187,733,194,726,195,623,79,23,0.975
