window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,propagation_rate,cost_model
12,0.001,0.2,855,0.4327485380116959,1.2337062287667457,30.51791540618803,0.9812865497076023,No cost
24,0.003,0.1,73,0.4246575342465753,1.205335192038954,1.6040075435250585,0.9863013698630136,No cost
12,0.0005,0.2,3780,0.43756613756613755,1.195005463831984,158.02633802862763,0.976984126984127,No cost
3,0.002,0.1,45,0.5333333333333333,1.185972584428828,1.56992727056135,1.0,No cost
6,0.002,0.2,80,0.5,1.179138675083297,2.4036736510071597,0.9875,No cost
12,0.0005,0.1,4034,0.43604362915220624,1.1726265990451432,140.1803972891351,0.9742191373326723,No cost
12,0.0015,0.5,248,0.42338709677419356,1.1426209360427124,6.716626386527887,0.9798387096774194,No cost
12,0.0005,0.5,3263,0.42752068648482994,1.136217062735635,115.49089833970602,0.9767085504137297,No cost
3,0.002,0.2,44,0.5,1.1346466396958887,1.2354159437696632,1.0,No cost
12,0.001,0.5,760,0.44342105263157894,1.1116375464368116,16.76970655348176,0.9789473684210527,No cost
12,0.002,0.5,121,0.4132231404958678,1.1017719829853645,2.352259703406467,0.9669421487603306,No cost
12,0.0015,0.8,246,0.42276422764227645,1.0995475604363838,4.981803731594471,0.983739837398374,No cost
24,0.003,0.2,69,0.4057971014492754,1.0907935834101452,0.754251356025193,0.9855072463768116,No cost
12,0.0005,0.8,2966,0.4194200944032367,1.0874829863073086,78.36418661042296,0.9774106540795684,No cost
24,0.0005,0.1,4651,0.42334981724360354,1.0667485259424572,69.41644577923277,0.9795742850999785,No cost
12,0.0005,1.0,2831,0.40162486753797244,1.059668463615844,56.34606726779922,0.975273754856941,No cost
6,0.003,1.0,30,0.4,1.034426048715371,0.2409657339421108,1.0,No cost
24,0.0005,0.2,4269,0.40688685874912156,1.0314907840066012,33.205922761970115,0.9791520262356523,No cost
12,0.001,0.8,724,0.44060773480662985,1.0203134560537168,3.397885601306605,0.9806629834254144,No cost
24,0.0005,0.5,3513,0.3888414460575007,1.019883590397293,21.31263166461062,0.9803586678052946,No cost
24,0.001,0.1,1418,0.4118476727785614,1.0197970907996528,4.040818407067881,0.9858956276445698,No cost
3,0.002,0.5,44,0.4772727272727273,1.0147691920134212,0.14908729565893375,0.9772727272727273,No cost
24,0.0005,0.8,3047,0.36724647193961274,1.0103469370514675,11.281190660810651,0.9796521168362323,No cost
24,0.001,0.2,1244,0.40353697749196143,0.9784765174035583,-4.541388522779243,0.9815112540192926,No cost
12,0.0015,1.0,243,0.3868312757201646,0.9749412714234161,-1.3656970327301856,0.9753086419753086,No cost
12,0.002,0.8,120,0.39166666666666666,0.969140335547519,-0.7485739789959704,0.9916666666666667,No cost
24,0.002,0.1,212,0.35377358490566035,0.968637196166382,-0.9609750981621179,0.9952830188679245,No cost
24,0.0005,1.0,2873,0.35607379046293075,0.9552378073306678,-49.7972695045797,0.9759832927253742,No cost
12,0.002,1.0,119,0.4117647058823529,0.9416056604681353,-1.4685301165913978,0.9747899159663865,No cost
24,0.001,0.5,998,0.3967935871743487,0.9283737490315082,-16.388676430209244,0.9839679358717435,No cost
12,0.003,0.2,49,0.3673469387755102,0.9268967352312985,-0.67183760200588,1.0,No cost
24,0.0015,0.1,481,0.39501039501039503,0.9203395341019822,-5.741740769823814,0.9875259875259875,No cost
12,0.001,1.0,712,0.40168539325842695,0.9101051071098941,-16.77477837428615,0.9831460674157303,No cost
3,0.002,0.8,44,0.4772727272727273,0.8961613478029177,-1.1205385787906028,1.0,No cost
12,0.003,0.5,49,0.3877551020408163,0.881223085530886,-1.1689557603053276,0.9795918367346939,No cost
3,0.002,1.0,44,0.4772727272727273,0.8770893991936667,-1.3184862487241047,0.9772727272727273,No cost
24,0.002,0.2,190,0.3473684210526316,0.8695891208094413,-4.430827720077605,1.0,No cost
3,0.003,0.5,18,0.4444444444444444,0.8496020470815189,-0.6275634725119533,0.9444444444444444,No cost
24,0.001,1.0,891,0.3602693602693603,0.8432938449627536,-41.47456688462108,0.9764309764309764,No cost
24,0.001,0.8,935,0.3679144385026738,0.8411391961961898,-40.95849697933795,0.9796791443850268,No cost
6,0.003,0.8,30,0.4,0.8374592379643947,-1.0426867799762471,1.0,No cost
24,0.0015,0.2,428,0.37616822429906543,0.8151033112973612,-14.53394162621872,0.9883177570093458,No cost
12,0.003,0.1,54,0.3888888888888889,0.7984566507821212,-1.8309981225320873,0.9814814814814815,No cost
3,0.003,0.1,18,0.5,0.7877242586246187,-0.7911505754427486,1.0,No cost
24,0.0015,0.8,343,0.36151603498542273,0.7799816190641802,-21.37962415998611,0.9737609329446064,No cost
24,0.0015,1.0,337,0.34124629080118696,0.775999320064879,-22.89803620377451,0.9881305637982196,No cost
24,0.0015,0.5,363,0.349862258953168,0.7645753944503351,-21.076226906234304,0.9752066115702479,No cost
12,0.003,0.8,49,0.3469387755102041,0.752781579618286,-2.5048758465878365,1.0,No cost
3,0.003,0.2,18,0.5555555555555556,0.7202067884445885,-1.1184995736998236,1.0,No cost
12,0.003,1.0,49,0.3673469387755102,0.6939140355133878,-3.1385311315713653,0.9795918367346939,No cost
24,0.002,0.5,173,0.3468208092485549,0.6625986166259179,-14.874471245497205,0.976878612716763,No cost
24,0.003,0.8,61,0.4098360655737705,0.6446443390559735,-4.9317924658286065,1.0,No cost
24,0.002,0.8,171,0.34502923976608185,0.6346432951102959,-18.333937669456155,0.9941520467836257,No cost
24,0.002,1.0,170,0.3235294117647059,0.6153050869355273,-20.8649463159108,0.9941176470588236,No cost
24,0.003,1.0,61,0.3770491803278688,0.6067341603699609,-5.68850199332734,1.0,No cost
6,0.003,0.1,33,0.3939393939393939,0.5875141436316045,-2.647360006520642,0.9696969696969697,No cost
3,0.003,0.8,18,0.3333333333333333,0.5783101196639492,-1.7555034507195828,1.0,No cost
6,0.003,0.2,32,0.34375,0.5736317645356752,-2.728093230703462,0.9375,No cost
24,0.003,0.5,61,0.39344262295081966,0.5479675231384826,-5.981182726090809,1.0,No cost
3,0.003,1.0,18,0.2777777777777778,0.538385888715627,-2.016216511516862,1.0,No cost
6,0.003,0.5,31,0.3225806451612903,0.5285731787526198,-3.2583599688736555,1.0,No cost
6,0.0015,1.0,137,0.3284671532846715,1.1762818178273633,6.197433270283135,0.9854014598540146,Old (0.02% fixed)
6,0.002,1.0,72,0.3333333333333333,1.110807379393663,1.9699908390470584,0.9722222222222222,Old (0.02% fixed)
6,0.0015,0.8,140,0.3357142857142857,1.0355281089654946,1.253079778296323,0.9785714285714285,Old (0.02% fixed)
