pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct
AUDJPY,B,LONG,2023-04-26 11:40:00,2023-04-26 11:50:00,stop,Pseudo,-0.5274338721679521
EURJPY,B,LONG,2023-04-26 11:40:00,2023-04-26 12:10:00,stop,Pseudo,-0.555608395209332
GBPJPY,B,LONG,2023-04-26 11:55:00,2023-04-26 12:10:00,spread_reduced,Pseudo,-0.2303512649376449
AUDJPY,B,LONG,2023-04-26 11:55:00,2023-04-26 12:10:00,spread_reduced,Both,-0.02610315231099669
GBPJPY,B,SHORT,2023-04-26 13:20:00,2023-04-26 13:55:00,spread_reduced,Pseudo,0.39964529306553886
AUDJPY,B,SHORT,2023-04-26 13:20:00,2023-04-26 13:55:00,spread_reduced,Pseudo,-0.33101464770172545
EURJPY,B,SHORT,2023-04-26 13:25:00,2023-04-26 13:55:00,spread_reduced,Pseudo,-0.0021980357309085248
AUDJPY,B,SHORT,2023-04-26 14:20:00,2023-04-26 14:40:00,stop,Pseudo,-0.5647970317890216
EURJPY,B,SHORT,2023-04-26 14:20:00,2023-04-26 14:45:00,spread_reduced,Real,-0.01236538538925321
GBPJPY,B,SHORT,2023-04-26 14:20:00,2023-04-26 14:45:00,spread_reduced,Real,-0.19418536012660859
EURJPY,B,LONG,2023-04-26 15:05:00,2023-04-26 16:20:00,spread_reduced,Pseudo,0.7112827062067211
GBPJPY,B,LONG,2023-04-26 15:05:00,2023-04-26 16:20:00,spread_reduced,Pseudo,0.8405583841381385
AUDJPY,B,LONG,2023-04-26 15:05:00,2023-04-26 16:20:00,spread_reduced,Pseudo,0.7672442241034954
EURJPY,B,SHORT,2023-04-26 18:55:00,2023-04-26 19:25:00,spread_reduced,Pseudo,-0.06437097008412293
GBPJPY,B,SHORT,2023-04-26 18:55:00,2023-04-26 19:25:00,spread_reduced,Pseudo,-0.33418678346386343
AUDJPY,B,SHORT,2023-04-26 18:55:00,2023-04-26 19:25:00,spread_reduced,Pseudo,-0.42182965247161697
EURJPY,B,SHORT,2023-04-27 07:20:00,2023-04-27 07:45:00,spread_reduced,Pseudo,-0.41882766417219075
GBPJPY,B,SHORT,2023-04-27 07:20:00,2023-04-27 07:45:00,spread_reduced,Pseudo,-0.24758334339347599
AUDJPY,B,SHORT,2023-04-27 07:20:00,2023-04-27 07:45:00,spread_reduced,Pseudo,-0.2878690329316906
EURJPY,B,LONG,2023-04-27 12:35:00,2023-04-27 13:10:00,spread_reduced,Pseudo,0.16973165317294797
GBPJPY,B,LONG,2023-04-27 12:35:00,2023-04-27 13:10:00,spread_reduced,Pseudo,0.4177022811853911
AUDJPY,B,LONG,2023-04-27 12:40:00,2023-04-27 13:10:00,spread_reduced,Pseudo,-0.0863319654546002
AUDJPY,B,LONG,2023-04-28 01:50:00,2023-04-28 02:05:00,stop,Pseudo,-0.6507495381942545
EURJPY,B,LONG,2023-04-28 01:50:00,2023-04-28 02:15:00,stop,Pseudo,-0.6545562658750725
GBPJPY,B,LONG,2023-04-28 01:50:00,2023-04-28 02:15:00,stop,Pseudo,-0.546691401599612
EURJPY,B,SHORT,2023-04-28 03:35:00,2023-04-28 04:00:00,stop,Pseudo,-1.821061895489695
GBPJPY,B,SHORT,2023-04-28 03:35:00,2023-04-28 04:00:00,stop,Pseudo,-1.698151202801072
AUDJPY,B,SHORT,2023-04-28 03:35:00,2023-04-28 04:00:00,stop,Pseudo,-1.5872919086731645
EURJPY,B,LONG,2023-04-28 04:00:00,2023-04-28 04:40:00,spread_reduced,Real,0.31276374538339685
GBPJPY,B,LONG,2023-04-28 04:00:00,2023-04-28 04:40:00,spread_reduced,Real,0.34485612324760184
AUDJPY,B,LONG,2023-04-28 04:00:00,2023-04-28 04:40:00,spread_reduced,Real,0.01885922528632733
EURJPY,B,LONG,2023-04-28 06:20:00,2023-04-28 07:15:00,spread_reduced,Pseudo,0.7626708091276562
GBPJPY,B,LONG,2023-04-28 06:20:00,2023-04-28 07:15:00,spread_reduced,Pseudo,1.1010394423605074
AUDJPY,B,LONG,2023-04-28 06:20:00,2023-04-28 07:15:00,spread_reduced,Pseudo,-0.005480022139366566
EURJPY,B,SHORT,2023-04-28 08:00:00,2023-04-28 08:40:00,spread_reduced,Pseudo,-0.18909327370090584
GBPJPY,B,SHORT,2023-04-28 08:00:00,2023-04-28 08:40:00,spread_reduced,Pseudo,0.03274732411088592
AUDJPY,B,SHORT,2023-04-28 08:00:00,2023-04-28 08:40:00,spread_reduced,Real,0.22388378296955835
EURJPY,B,LONG,2023-04-28 09:15:00,2023-04-28 10:25:00,spread_reduced,Pseudo,0.22551866007347598
