window,entry_thr,exit_ratio,trades,win_rate,avg_pnl,total_pnl,pf,max_dd,stop_cnt,reduced_cnt,prop_Real,prop_Pseudo,prop_Both,prop_Neither,propagation_rate
3,0.001,1.0,22935,0.3512099411379987,-0.05558037201876634,-1274.735832250406,0.7572434090589085,-1274.6114987690464,3687,19243,3914,17537,1048,431,0.9809897536516241
12,0.0005,1.0,56965,0.2869832353199333,-0.11042353795936177,-6290.276839855043,0.7557149735721941,-6312.611179442331,27844,29115,5575,47800,2060,1524,0.9731414026156412
6,0.0015,0.2,15133,0.3461970527985198,-0.03508145016173309,-530.8875852975069,0.7538257517643849,-530.6444269518678,697,14436,2858,11293,665,317,0.9790524020352871
24,0.0005,0.2,62219,0.2731641460004179,-0.09781097493635643,-6085.701049565161,0.7504189482482239,-6145.332939357787,23609,38609,8053,49444,2736,1985,0.9680804898825117
12,0.0005,0.8,59611,0.28987938467732466,-0.10891669863039627,-6492.633322056552,0.7485275535197596,-6510.5525562315715,27105,32500,6320,49428,2261,1596,0.9731257653788731
6,0.0015,0.1,15814,0.34520045529277854,-0.033799630047257924,-534.5073495673369,0.7478957757501313,-534.2641912216991,643,15171,3238,11494,712,370,0.9766030099911471
12,0.001,0.1,40025,0.32104934415990005,-0.04904910349670599,-1963.1903674556575,0.7466446683059432,-1963.673844243734,4389,35635,6774,30228,2067,955,0.9761149281698939
3,0.001,0.5,24328,0.3613942781979612,-0.0493906373258192,-1201.5754248625294,0.7462786644048419,-1202.1532825610273,2613,21714,5160,17500,1111,556,0.9771045708648471
3,0.0015,0.1,9126,0.356454087223318,-0.03433912095687351,-313.3788178524277,0.7441551914900874,-317.5314734922813,384,8742,2135,6349,418,224,0.975454744685514
6,0.001,0.5,31262,0.34511547565734757,-0.054880453157974074,-1715.6727266245855,0.7429717803971707,-1715.6548965053291,4433,26829,5432,23645,1519,666,0.978696180666624
24,0.0005,0.1,65421,0.2738264471652833,-0.09918212575041152,-6488.593848717672,0.7377642258034762,-6541.639540048441,23247,42173,8821,51530,2980,2089,0.9680530716436618
6,0.0005,1.0,67341,0.3123654237388812,-0.108171858220029,-7284.401104394973,0.7335906668953784,-7297.746275376634,27780,39557,7380,55849,2772,1336,0.980101275597333
12,0.0005,0.5,65454,0.29270938368930854,-0.10859089262720473,-7107.7082860210585,0.7281995593314508,-7120.510336353514,25675,39773,7913,53077,2770,1688,0.9741192287713508
6,0.0005,0.8,70118,0.31428449185658464,-0.10919265496235814,-7656.370580650628,0.7191327661613383,-7670.176368081622,26746,43368,8421,57160,3060,1473,0.9789355087138824
6,0.001,0.2,34268,0.3353857826543714,-0.05371726337431608,-1840.7831813110633,0.7138050023731876,-1840.7327949803014,3474,30794,6287,25483,1754,744,0.9782887825376444
12,0.0005,0.2,73207,0.2924993511549442,-0.10536168080523381,-7713.212566708751,0.7089902717713225,-7738.459099362379,24005,49201,10054,57845,3418,1889,0.974182796727089
3,0.002,0.1,3952,0.3466599190283401,-0.03461162485987721,-136.78514144623475,0.7084288681482968,-153.46330628865476,105,3847,953,2764,163,72,0.9817813765182186
3,0.001,0.2,25305,0.35083975498913256,-0.05299578507128687,-1341.0583412289143,0.7049497761412413,-1341.335582726315,2142,23163,5526,18003,1170,606,0.9760521636040308
6,0.001,0.1,35702,0.33359475659626914,-0.052744004880097735,-1883.0664622292493,0.7035890242605842,-1883.0160758984957,3167,32535,6779,26236,1861,826,0.9768640412301832
3,0.003,0.8,964,0.3775933609958506,-0.03721788332743076,-35.87803952764325,0.7022689409294184,-47.3402925140412,31,933,212,697,35,20,0.979253112033195
12,0.0005,0.1,76596,0.29357929918011383,-0.1040237788242203,-7967.805362819978,0.701493014057656,-7986.519248532587,23385,53210,11189,59649,3689,2068,0.9729881455950702
3,0.002,0.2,3912,0.34202453987730064,-0.03713232511188769,-145.26165583770464,0.7004958820904895,-157.77335516462472,118,3794,897,2782,162,71,0.9818507157464212
6,0.0005,0.5,75065,0.3131552654366216,-0.10846574432032621,-8141.981097405287,0.6986367843110319,-8157.089049419942,24810,50251,10068,59845,3600,1548,0.9793245853593552
3,0.003,0.5,976,0.375,-0.03582266749907475,-34.96292347909696,0.6965064259372555,-43.73529779067845,24,952,231,693,33,19,0.9805327868852459
3,0.001,0.1,25768,0.34907637379695744,-0.05380252011646081,-1386.3833383609622,0.6921906905349821,-1386.660579858359,2020,23748,5936,17990,1193,649,0.9748137224464452
3,0.0005,1.0,74901,0.32410782232546964,-0.11256674511692213,-8431.361776002585,0.6911451787850811,-8443.33709851384,25225,49672,9626,60422,3573,1276,0.9829107755570686
6,0.0005,0.2,81491,0.3139733222073603,-0.1046221918622913,-8525.76703704998,0.6819653071832611,-8533.108693853781,22795,58695,12602,62914,4212,1762,0.9783657090967101
3,0.0005,0.8,77169,0.3256489004652127,-0.11293161256283796,-8714.819609861643,0.6758337068826687,-8721.763118784815,23803,53362,10872,61103,3795,1395,0.98187095854553
6,0.0005,0.1,84188,0.315068655865444,-0.10349227399084071,-8712.807562740898,0.674625714222862,-8717.993287699945,22134,62053,13715,64146,4443,1883,0.9776215137549294
3,0.0005,0.5,80635,0.3286290072549141,-0.1084014978651059,-8740.954780352815,0.6654803788193686,-8740.953859984498,21641,58990,13151,61846,4079,1555,0.9806659639114529
3,0.0005,0.2,84399,0.3288546072820768,-0.10479123670962746,-8844.275587055849,0.6526837606747905,-8845.544604687897,19714,64684,15715,62340,4462,1881,0.977701157596654
3,0.0005,0.1,85927,0.32877907991667343,-0.10514004760916351,-9034.368870912593,0.6428539035469883,-9036.08342265374,19053,66873,16958,62430,4554,1984,0.976898995659106
