ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
7994.T,2023-05-11,2023-09-14,1546.9,2024.7,1546.9,30.88,time,126
7994.T,2023-09-19,2023-10-26,2044.1,1856.9,1868.6,-9.16,stop_base,37
7994.T,2023-11-17,2023-12-08,2015.0,1828.1,1856.9,-9.27,stop_base,21
7994.T,2024-01-22,2024-02-13,2014.1,1811.9,1823.6,-10.04,stop_base,22
7994.T,2024-03-19,2024-05-22,2027.5,2020.8,2027.5,-0.33,stop_breakeven,64
7995.T,2021-09-10,2022-01-14,1817.6,2260.7,1817.6,24.38,time,126
7995.T,2022-08-01,2022-12-05,2366.3,2321.5,2135.9,-1.89,time,126
7995.T,2023-01-31,2023-06-06,2782.1,3294.5,2782.1,18.42,time,126
7995.T,2023-06-12,2023-07-12,3361.5,3330.2,3361.5,-0.93,stop_breakeven,30
7995.T,2023-08-21,2023-10-26,3526.9,3490.1,3526.9,-1.04,stop_breakeven,66
7995.T,2023-12-20,2024-04-24,3599.3,4099.0,3599.3,13.88,time,126
8001.T,2020-01-09,2020-03-06,429.8,394.2,396.2,-8.28,stop_base,57
8001.T,2020-11-19,2021-03-25,473.4,603.0,473.4,27.38,time,126
8001.T,2021-03-29,2021-08-02,620.9,580.4,535.2,-6.52,time,126
8001.T,2021-08-11,2021-09-22,589.9,576.0,589.9,-2.36,stop_breakeven,42
8001.T,2021-11-08,2022-03-14,607.9,686.2,607.9,12.87,time,126
8001.T,2022-08-01,2022-09-26,706.8,643.6,647.4,-8.94,stop_base,56
8001.T,2022-11-01,2023-01-06,725.7,722.8,725.7,-0.4,stop_breakeven,66
8001.T,2023-03-06,2023-07-10,784.2,1024.6,784.2,30.66,time,126
8001.T,2023-09-07,2023-10-03,1070.5,998.1,1003.7,-6.76,stop_base,26
8001.T,2023-11-06,2023-12-08,1071.0,1068.1,1071.0,-0.26,stop_breakeven,32
8001.T,2024-01-10,2024-05-15,1146.0,1358.3,1146.0,18.52,time,126
8001.T,2024-05-31,2024-08-01,1411.3,1408.2,1411.3,-0.22,stop_breakeven,62
8001.T,2024-09-26,2025-01-30,1519.2,1385.0,1318.3,-8.84,time,126
8002.T,2021-05-07,2021-06-21,783.3,762.5,783.3,-2.65,stop_breakeven,45
8002.T,2021-11-04,2021-11-30,863.8,856.2,863.8,-0.88,stop_breakeven,26
8002.T,2021-12-28,2022-05-06,943.7,1227.0,943.7,30.01,time,129
8002.T,2022-06-09,2022-06-20,1267.1,1069.9,1107.0,-15.56,stop_base,11
8002.T,2022-08-05,2022-09-30,1131.6,1126.2,1131.6,-0.48,stop_breakeven,56
8002.T,2022-11-02,2023-03-08,1245.6,1698.1,1245.6,36.33,time,126
8002.T,2023-04-12,2023-08-16,1730.4,2136.6,1730.4,23.48,time,126
8002.T,2023-09-15,2023-10-04,2310.6,1992.2,2094.3,-13.78,stop_base,19
8002.T,2023-11-15,2024-02-05,2219.6,2197.9,2219.6,-0.98,stop_breakeven,82
8002.T,2024-02-26,2024-07-01,2355.9,2808.0,2355.9,19.19,time,126
