ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
9795.T,2025-07-01,2025-11-04,2211.6,2391.4,2211.6,8.13,time,126
9795.T,2025-11-21,2026-03-27,2426.8,2470.0,2300.0,1.78,time,126
9837.T,2025-08-20,2025-12-24,1534.6,1663.0,1534.6,8.37,time,126
9869.T,2025-07-09,2025-11-12,5400.5,5800.2,5400.5,7.4,time,126
9869.T,2025-11-21,2026-03-27,6017.6,6650.0,6017.6,10.51,time,126
9880.T,2025-10-24,2026-02-27,1692.5,2814.7,1692.5,66.31,time,126
9882.T,2025-07-14,2025-11-04,1498.3,1428.5,1498.3,-4.66,stop_breakeven,113
9889.T,2025-01-31,2025-02-20,1147.0,1128.0,1147.0,-1.66,stop_breakeven,20
9889.T,2025-08-13,2025-10-02,1337.4,1208.4,1212.6,-9.65,stop_base,50
9900.T,2025-02-14,2025-03-27,1794.4,1679.7,1681.7,-6.39,stop_base,41
9932.T,2025-07-04,2025-09-01,1734.2,1709.2,1734.2,-1.45,stop_breakeven,59
9932.T,2025-09-18,2025-09-24,1893.3,1699.5,1709.2,-10.23,stop_base,6
9932.T,2025-10-22,2025-11-05,1893.7,1631.3,1632.3,-13.86,stop_base,14
9934.T,2025-07-11,2025-11-14,1963.0,2305.6,1963.0,17.45,time,126
9934.T,2025-11-21,2026-03-27,2333.2,2650.5,2333.2,13.6,time,126
9936.T,2025-02-17,2025-04-07,2995.4,2940.3,2995.4,-1.84,stop_breakeven,49
9936.T,2025-06-18,2025-10-02,3591.7,3543.2,3591.7,-1.35,stop_breakeven,106
9946.T,2025-07-11,2025-11-14,1921.0,2028.9,1921.0,5.62,time,126
9948.T,2025-06-27,2025-10-31,2940.8,3099.8,2940.8,5.41,time,126
9948.T,2025-11-14,2026-03-23,3272.8,3645.0,3272.8,11.37,time,129
9956.T,2025-07-08,2025-11-11,2478.1,2901.3,2478.1,17.08,time,126
9956.T,2025-11-12,2026-03-18,2923.1,3640.3,2923.1,24.53,time,126
9960.T,2025-05-30,2025-10-03,2842.2,3024.9,2842.2,6.43,time,126
9960.T,2025-11-10,2026-03-16,3176.6,3915.7,3176.6,23.27,time,126
9974.T,2025-06-16,2025-10-16,7241.5,7203.4,7241.5,-0.53,stop_breakeven,122
9984.T,2025-01-23,2025-02-26,2674.5,2172.9,2178.4,-18.75,stop_base,34
9987.T,2025-07-29,2025-08-14,5547.9,5456.5,5547.9,-1.65,stop_breakeven,16
9987.T,2025-09-04,2026-01-08,5917.6,6234.6,5917.6,5.36,time,126
9989.T,2025-07-07,2025-09-12,4447.1,4429.6,4447.1,-0.39,stop_breakeven,67
9991.T,2025-06-11,2025-10-15,1207.5,1338.5,1207.5,10.85,time,126
9991.T,2025-10-27,2026-03-02,1418.8,1880.6,1418.8,32.55,time,126
9997.T,2025-07-08,2025-11-11,886.4,1021.9,886.4,15.29,time,126
9997.T,2025-11-12,2025-11-17,1036.7,918.6,960.9,-11.39,stop_base,5
