ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
4403.T,2021-11-24,2021-11-26,1873.6,1855.3,1699.4,-0.98,ma200_breach,2
4403.T,2022-11-22,2022-12-19,1794.2,1694.5,1569.9,-5.56,ma200_breach,27
4403.T,2023-02-08,2023-02-22,1744.4,1856.5,1744.4,6.43,ma200_breach,14
4403.T,2023-03-03,2023-03-14,1872.1,1834.7,1660.3,-2.0,ma200_breach,11
4403.T,2023-03-30,2023-08-03,1921.4,1900.1,1797.3,-1.11,time,126
4403.T,2023-08-10,2023-09-22,1965.2,1943.5,1965.2,-1.1,stop_breakeven,43
4403.T,2023-11-02,2024-03-04,2128.2,2126.2,2128.2,-0.09,stop_breakeven,123
4410.T,2022-09-13,2022-09-21,785.8,767.6,688.1,-2.32,ma200_breach,8
4410.T,2023-03-09,2023-03-14,797.1,764.0,707.2,-4.15,ma200_breach,5
4413.T,2023-03-24,2023-04-24,1104.1,1087.9,1104.1,-1.47,stop_breakeven,31
4413.T,2024-01-09,2024-02-08,1797.4,1477.8,1483.7,-17.78,stop_base,30
4413.T,2024-06-24,2024-07-11,1752.6,1742.6,1752.6,-0.57,stop_breakeven,17
4432.T,2023-05-31,2023-06-30,2157.8,2147.8,2157.8,-0.46,stop_breakeven,30
4432.T,2023-10-13,2023-10-23,2412.4,2400.5,2412.4,-0.5,stop_breakeven,10
4432.T,2023-11-02,2024-01-12,2633.3,2591.0,2633.3,-1.61,stop_breakeven,71
4432.T,2024-02-19,2024-04-16,2788.9,2419.7,2424.4,-13.24,stop_base,57
4432.T,2024-12-18,2025-01-09,3385.0,3375.5,3385.0,-0.28,stop_breakeven,22
4433.T,2021-04-01,2021-06-21,1878.4,1875.8,1878.4,-0.14,stop_breakeven,81
4433.T,2021-07-05,2021-07-19,2032.0,1834.8,1762.4,-9.7,ma200_breach,14
4443.T,2021-01-05,2021-05-11,1770.0,2062.5,1770.0,16.53,time,126
4443.T,2023-04-14,2023-04-25,1808.0,1766.0,1808.0,-2.32,stop_breakeven,11
4443.T,2023-06-07,2023-06-22,1848.5,1817.0,1848.5,-1.7,stop_breakeven,15
4443.T,2024-07-12,2024-08-02,2130.0,1953.0,2130.0,-8.31,ma200_breach,21
4443.T,2024-10-18,2024-10-23,2347.0,2265.0,2002.0,-3.49,ma200_breach,5
4443.T,2024-12-12,2025-01-14,2366.0,2450.0,1968.0,3.55,ma200_breach,33
4446.T,2023-03-22,2023-04-10,1035.0,907.0,908.0,-12.37,stop_base,19
4446.T,2023-05-19,2023-07-06,1022.0,1021.0,1022.0,-0.1,stop_breakeven,48
4449.T,2021-05-21,2021-07-13,3579.4,3495.9,3579.4,-2.33,stop_breakeven,53
4449.T,2023-05-09,2023-05-19,2369.6,2265.5,2369.6,-4.39,stop_breakeven,10
4452.T,2024-06-03,2024-08-02,6669.9,6210.9,5860.1,-6.88,ma200_breach,60
4452.T,2024-09-27,2024-10-23,7015.3,6531.1,6087.4,-6.9,ma200_breach,26
