ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
4809.T,2025-08-28,2026-01-05,1980.4,2008.0,1788.9,1.39,time,130
4812.T,2025-02-05,2025-02-20,2020.5,2017.2,2020.5,-0.16,stop_breakeven,15
4812.T,2025-05-13,2025-05-15,2292.7,2246.8,1882.7,-2.0,ma200_breach,2
4812.T,2025-08-04,2025-12-08,2266.1,2553.9,2266.1,12.7,time,126
4812.T,2025-12-29,2026-01-29,2741.0,2431.0,2491.0,-11.31,stop_base,31
4813.T,2024-05-17,2024-06-12,1666.0,1346.0,1374.0,-19.21,stop_base,26
4813.T,2024-07-30,2024-08-02,1403.0,1203.0,1226.0,-14.26,ma200_breach,3
4813.T,2024-11-25,2024-11-26,1371.0,1235.0,1217.0,-9.92,ma200_breach,1
4819.T,2025-01-28,2025-02-03,3815.8,3859.3,3472.9,1.14,ma200_breach,6
4819.T,2025-02-06,2025-02-25,3965.6,4424.5,3965.6,11.57,ma200_breach,19
4819.T,2025-05-29,2025-06-02,4669.7,4933.5,4078.7,5.65,ma200_breach,4
4820.T,2025-01-28,2025-02-03,770.7,750.8,707.2,-2.59,ma200_breach,6
4820.T,2025-11-28,2026-02-16,811.4,706.0,718.0,-12.99,stop_base,80
4825.T,2024-12-16,2025-01-14,1599.9,1715.1,1599.9,7.2,ma200_breach,29
4825.T,2025-05-29,2025-06-02,1992.6,1955.5,1720.0,-1.86,ma200_breach,4
4825.T,2025-07-08,2025-10-14,2091.5,2076.7,2091.5,-0.71,stop_breakeven,98
4826.T,2024-01-29,2024-04-16,463.2,450.8,463.2,-2.67,stop_breakeven,78
4826.T,2025-05-30,2025-06-02,479.5,476.6,400.4,-0.6,ma200_breach,3
4826.T,2025-06-16,2025-10-20,485.3,466.1,448.6,-3.95,time,126
4826.T,2025-11-04,2026-03-10,548.6,521.0,452.4,-5.02,time,126
4828.T,2024-01-19,2024-02-15,857.4,726.0,747.4,-15.33,stop_base,27
4828.T,2025-08-08,2025-09-04,1149.0,1131.5,1149.0,-1.52,stop_breakeven,27
4828.T,2025-09-24,2025-10-28,1222.5,1214.2,1222.5,-0.67,stop_breakeven,34
4828.T,2025-11-10,2026-02-04,1294.5,1280.8,1294.5,-1.06,stop_breakeven,86
4839.T,2025-11-04,2025-12-04,1538.4,1309.7,1334.1,-14.87,stop_base,30
4839.T,2026-01-06,2026-03-03,1474.9,1253.0,1264.7,-15.04,stop_base,56
4847.T,2024-01-22,2024-04-19,1008.6,1007.6,1008.6,-0.09,stop_breakeven,88
4847.T,2025-06-25,2025-10-01,1098.2,1012.8,1018.1,-7.78,stop_base,98
4848.T,2025-05-29,2025-06-02,1729.2,1734.0,1453.7,0.28,ma200_breach,4
4848.T,2025-08-18,2025-12-22,1728.9,1643.6,1580.8,-4.94,time,126
4886.T,2024-01-16,2024-05-21,1758.8,2152.3,1758.8,22.37,time,126
4886.T,2024-06-21,2024-07-02,2362.1,2360.2,2362.1,-0.08,stop_breakeven,11
4886.T,2025-07-01,2025-08-14,2416.9,2237.1,2245.0,-7.44,stop_base,44
4886.T,2025-08-20,2025-10-01,2509.7,2139.4,2237.1,-14.75,stop_base,42
4887.T,2024-01-17,2024-05-22,1766.8,1874.6,1766.8,6.1,time,126
4887.T,2024-06-26,2024-08-02,2016.9,1986.2,2016.9,-1.52,ma200_breach,37
4887.T,2024-10-04,2024-10-23,2052.9,1918.2,1885.7,-6.56,ma200_breach,19
4901.T,2024-01-16,2024-02-09,2933.8,2901.8,2933.8,-1.09,stop_breakeven,24
4901.T,2024-03-04,2024-07-08,3131.3,3697.2,3131.3,18.07,time,126
4901.T,2024-07-09,2024-07-25,3774.0,3348.7,3406.3,-11.27,stop_base,16
4912.T,2024-11-25,2024-11-26,1789.2,1758.0,1592.5,-1.74,ma200_breach,1
4912.T,2024-12-09,2025-01-14,1791.1,1602.7,1592.5,-10.52,ma200_breach,36
4912.T,2025-02-14,2025-02-25,1830.9,1820.1,1554.2,-0.59,ma200_breach,11
4914.T,2024-02-05,2024-02-29,660.8,603.0,608.5,-8.75,stop_base,24
4914.T,2024-05-10,2024-07-23,689.4,688.5,689.4,-0.13,stop_breakeven,74
4914.T,2024-11-11,2024-11-18,1142.8,1116.5,921.0,-2.3,ma200_breach,7
4914.T,2025-02-14,2025-02-25,1155.9,1214.2,1155.9,5.04,ma200_breach,11
4914.T,2025-06-09,2025-06-13,1351.7,1365.2,1213.1,1.0,ma200_breach,4
4914.T,2025-06-16,2025-07-22,1382.5,1374.8,1382.5,-0.56,stop_breakeven,36
4914.T,2025-08-08,2025-09-03,1573.2,1561.6,1573.2,-0.73,stop_breakeven,26
4917.T,2025-06-26,2025-10-30,1393.0,2434.0,1393.0,74.73,time,126
4917.T,2025-11-05,2026-03-11,2453.0,3080.0,2453.0,25.56,time,126
4923.T,2024-09-26,2024-10-23,1591.7,1510.3,1479.8,-5.12,ma200_breach,27
4931.T,2024-06-20,2024-08-02,1652.1,1579.5,1562.3,-4.39,ma200_breach,43
4931.T,2024-09-26,2024-10-23,1819.2,1676.4,1562.3,-7.85,ma200_breach,27
4931.T,2024-11-13,2024-11-18,1898.4,1803.5,1647.0,-5.0,ma200_breach,5
4931.T,2024-12-16,2025-01-14,1912.1,1883.7,1670.5,-1.48,ma200_breach,29
4931.T,2025-02-10,2025-02-25,1986.4,2137.0,1986.4,7.58,ma200_breach,15
4931.T,2025-06-27,2025-10-17,2245.6,2232.0,2245.6,-0.61,stop_breakeven,112
4956.T,2024-01-30,2024-04-16,1351.2,1328.3,1351.2,-1.69,stop_breakeven,77
4968.T,2024-06-24,2024-07-22,1094.4,1069.5,1094.4,-2.27,stop_breakeven,28
4968.T,2024-10-11,2024-10-23,1212.0,1258.1,1212.0,3.8,ma200_breach,12
