method,window,entry_threshold,exit_ratio,exit_threshold,trades,win_rate,pf,total_pnl,max_dd,case_a,case_b,stop_cnt,reduced_cnt
rolling,6,0.0015,0.2,0.0012,13594,0.2302486391054877,0.3950836321304648,-1820.6163399280917,-1820.9072971971766,681,12913,986,12608
rolling,24,0.0005,0.8,0.0001,79702,0.18413590625078416,0.37423447500675117,-32976.693377781965,-32991.51888213822,15623,64079,49234,30465
rolling,6,0.001,0.5,0.0005,29677,0.231728274421269,0.37011287975784973,-6029.689194907116,-6029.09662638728,1781,27896,5558,24119
rolling,12,0.001,0.2,0.0008,39843,0.21441658509650377,0.3632088931398807,-8094.098119427519,-8093.570808544374,4705,35138,7156,32684
rolling,24,0.0005,0.5,0.00025,87381,0.17965003833785376,0.3473170418553116,-36053.42098020206,-36060.70773985037,17716,69665,48884,38494
rolling,12,0.0005,0.8,0.0001,85864,0.19422575235255754,0.34434324531250937,-35467.163981678474,-35467.18945237809,13438,72426,47771,38088
rolling,6,0.001,0.2,0.0008,32815,0.20798415358829803,0.32717676367817944,-6643.015793017052,-6643.219850362584,2414,30401,4619,28196
rolling,12,0.0005,0.5,0.00025,93622,0.18500993356262416,0.31402264962185833,-38724.30040103546,-38724.32587173484,15329,78293,46507,47110
rolling,24,0.0005,0.2,0.0004,99932,0.16745386863066886,0.3138566772018559,-40846.94317849018,-40846.16819901468,20911,79021,47787,52142
rolling,6,0.0005,0.8,0.0001,86194,0.1955936608116574,0.3116738030289702,-35446.6171082563,-35445.872015598216,9099,77095,41689,44502
rolling,6,0.0005,0.5,0.00025,91907,0.18450172456940167,0.28277488736733114,-37787.10933387741,-37786.3642412189,10369,81538,39427,52477
rolling,12,0.0005,0.2,0.0004,105305,0.16966905655002137,0.27892050540345775,-43331.65461189264,-43331.92491489254,18337,86968,44436,60864
rolling,6,0.0005,0.2,0.0004,100340,0.1710683675503289,0.2516943518125832,-40984.35065764225,-40983.892477835565,12471,87869,36888,63449
