signal_bar,entry_bar,entry_price,exit_price,pnl_yen,r_mult,hold_bars,direction,session,jst_hour,month,strategy
2024-05-02 17:05:00,2024-05-02 17:10:00,153.6835,153.7994285714286,-5000.0000000001755,-1.000000000000035,1,short,NY   21-03JST,2,2024-05,戦略A 順張りショート
2024-05-02 17:45:00,2024-05-02 17:50:00,153.256,153.36532142857143,-5000.000000000371,-1.0000000000000742,1,short,NY   21-03JST,2,2024-05,戦略A 順張りショート
2024-05-03 00:00:00,2024-05-03 00:05:00,152.978,153.31071428571428,12073.613271124166,2.4147226542248332,8,long,東京 09-15JST,9,2024-05,戦略B 逆張りロング
2024-05-03 00:05:00,2024-05-03 00:10:00,153.0775,153.30578571428572,7997.997997998444,1.5995995995996888,7,long,東京 09-15JST,9,2024-05,戦略B 逆張りロング
2024-05-03 01:55:00,2024-05-03 02:00:00,152.8425,152.82714285714283,-549.0296220642587,-0.10980592441285174,3,long,東京 09-15JST,10,2024-05,戦略B 逆張りロング
2024-05-03 02:15:00,2024-05-03 02:20:00,152.8375,152.91989285714286,3266.7799490225825,0.6533559898045165,4,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-05-03 02:35:00,2024-05-03 02:40:00,152.929,153.0292142857143,4346.344485749741,0.8692688971499481,9,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-05-03 02:40:00,2024-05-03 02:45:00,152.9615,152.97342857142857,634.0167046316197,0.12680334092632395,3,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-05-03 13:25:00,2024-05-03 13:30:00,152.447,152.42514285714284,419.2929569747954,0.08385859139495908,7,short,NY   21-03JST,22,2024-05,戦略A 順張りショート
2024-05-15 16:00:00,2024-05-15 16:05:00,155.05,154.94207142857144,5111.637347767207,1.0223274695534414,7,short,NY   21-03JST,1,2024-05,戦略A 順張りショート
2024-05-15 16:05:00,2024-05-15 16:10:00,155.10250000000002,154.94460714285714,7302.609844731723,1.4605219689463445,6,short,NY   21-03JST,1,2024-05,戦略A 順張りショート
2024-05-15 16:10:00,2024-05-15 16:15:00,154.9785,154.951,1200.8733624455147,0.24017467248910293,5,short,NY   21-03JST,1,2024-05,戦略A 順張りショート
2024-05-15 17:10:00,2024-05-15 17:15:00,154.7715,154.86110714285715,-5000.000000000679,-1.000000000000136,1,short,NY   21-03JST,2,2024-05,戦略A 順張りショート
2024-05-16 00:15:00,2024-05-16 00:20:00,154.338,154.21485714285714,-4999.999999999671,-0.9999999999999342,1,long,東京 09-15JST,9,2024-05,戦略B 逆張りロング
2024-05-16 00:20:00,2024-05-16 00:25:00,154.185,154.05353571428572,-4999.999999999923,-0.9999999999999846,1,long,東京 09-15JST,9,2024-05,戦略B 逆張りロング
2024-05-16 00:25:00,2024-05-16 00:30:00,154.051,153.9120357142857,-4999.999999999707,-0.9999999999999414,1,long,東京 09-15JST,9,2024-05,戦略B 逆張りロング
2024-05-16 01:20:00,2024-05-16 01:25:00,153.767,153.64825000000002,-3899.835796386899,-0.7799671592773798,2,long,東京 09-15JST,10,2024-05,戦略B 逆張りロング
2024-05-16 01:30:00,2024-05-16 01:35:00,153.7365,154.17164285714287,15176.88091679208,3.0353761833584163,10,long,東京 09-15JST,10,2024-05,戦略B 逆張りロング
2024-05-16 01:35:00,2024-05-16 01:40:00,153.727,154.17585714285715,16129.363449692904,3.225872689938581,9,long,東京 09-15JST,10,2024-05,戦略B 逆張りロング
2024-05-17 14:40:00,2024-05-17 14:45:00,155.4385,155.40942857142858,2256.097560975687,0.4512195121951374,3,short,NY   21-03JST,23,2024-05,戦略A 順張りショート
2024-05-21 14:50:00,2024-05-21 14:55:00,155.92849999999999,156.0145,-5000.000000000589,-1.000000000000118,2,short,NY   21-03JST,23,2024-05,戦略A 順張りショート
2024-05-30 05:40:00,2024-05-30 05:45:00,157.011,156.94807142857144,-4999.999999999355,-0.999999999999871,1,long,東京 09-15JST,14,2024-05,戦略B 逆張りロング
2024-05-30 05:50:00,2024-05-30 05:55:00,156.9305,156.86085714285716,-4999.999999999272,-0.9999999999998544,1,long,東京 09-15JST,14,2024-05,戦略B 逆張りロング
2024-05-30 05:55:00,2024-05-30 06:00:00,156.96300000000002,156.89239285714288,-5000.000000000432,-1.0000000000000864,1,long,東京 09-15JST,14,2024-05,戦略B 逆張りロング
2024-05-30 12:00:00,2024-05-30 12:05:00,156.69400000000002,156.74889285714286,-4999.999999999075,-0.999999999999815,1,short,NY   21-03JST,21,2024-05,戦略A 順張りショート
2024-05-31 02:00:00,2024-05-31 02:05:00,156.68099999999998,156.75175000000002,4125.36443148894,0.825072886297788,14,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-05-31 02:05:00,2024-05-31 02:10:00,156.6225,156.7524285714286,7636.439966416756,1.5272879932833512,13,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-05-31 02:15:00,2024-05-31 02:20:00,156.6015,156.7582142857143,9882.88288288564,1.9765765765771282,10,long,東京 09-15JST,11,2024-05,戦略B 逆張りロング
2024-06-03 14:05:00,2024-06-03 14:10:00,156.24900000000002,156.24610714285714,161.41889199022935,0.03228377839804587,2,short,NY   21-03JST,23,2024-06,戦略A 順張りショート
2024-06-03 14:15:00,2024-06-03 14:20:00,156.25799999999998,156.35857142857142,-5000.000000000504,-1.0000000000001008,1,short,NY   21-03JST,23,2024-06,戦略A 順張りショート
2024-06-03 15:35:00,2024-06-03 15:40:00,156.036,156.04103571428573,-278.1065088763423,-0.05562130177526845,4,short,NY   21-03JST,0,2024-06,戦略A 順張りショート
2024-06-04 12:00:00,2024-06-04 12:05:00,154.79899999999998,154.90446428571425,-4999.999999999422,-0.9999999999998843,1,short,NY   21-03JST,21,2024-06,戦略A 順張りショート
2024-06-06 00:10:00,2024-06-06 00:15:00,155.7765,155.79367857142856,1275.8620689645657,0.2551724137929131,5,long,東京 09-15JST,9,2024-06,戦略B 逆張りロング
2024-06-06 00:15:00,2024-06-06 00:20:00,155.7465,155.79739285714285,4000.5614823130386,0.8001122964626077,4,long,東京 09-15JST,9,2024-06,戦略B 逆張りロング
2024-06-06 00:40:00,2024-06-06 00:45:00,155.7255,155.66125,-5000.000000001106,-1.0000000000002212,1,long,東京 09-15JST,9,2024-06,戦略B 逆張りロング
2024-06-06 00:45:00,2024-06-06 00:50:00,155.6635,155.62560714285715,-2853.6847767612135,-0.5707369553522427,2,long,東京 09-15JST,9,2024-06,戦略B 逆張りロング
2024-06-06 01:00:00,2024-06-06 01:05:00,155.5625,155.48917857142857,-5000.000000000277,-1.0000000000000555,1,long,東京 09-15JST,10,2024-06,戦略B 逆張りロング
2024-06-06 01:10:00,2024-06-06 01:15:00,155.49099999999999,155.45610714285712,-2225.512528474331,-0.44510250569486615,3,long,東京 09-15JST,10,2024-06,戦略B 逆張りロング
2024-06-06 01:15:00,2024-06-06 01:20:00,155.514,155.44171428571428,-4501.779359431498,-0.9003558718862996,2,long,東京 09-15JST,10,2024-06,戦略B 逆張りロング
2024-06-06 01:25:00,2024-06-06 01:30:00,155.4885,155.6450714285714,9614.035087719676,1.9228070175439351,5,long,東京 09-15JST,10,2024-06,戦略B 逆張りロング
2024-06-06 01:30:00,2024-06-06 01:35:00,155.438,155.63649999999998,11027.777777777867,2.2055555555555735,4,long,東京 09-15JST,10,2024-06,戦略B 逆張りロング
2024-06-12 12:30:00,2024-06-12 12:35:00,156.523,156.3595,8014.705882353232,1.6029411764706463,3,short,NY   21-03JST,21,2024-06,戦略A 順張りショート
2024-06-13 12:30:00,2024-06-13 12:35:00,156.60750000000002,156.6901785714286,-4999.9999999997535,-0.9999999999999507,1,short,NY   21-03JST,21,2024-06,戦略A 順張りショート
2024-06-13 15:45:00,2024-06-13 15:50:00,156.80349999999999,156.792,787.6712328755696,0.15753424657511392,3,short,NY   21-03JST,0,2024-06,戦略A 順張りショート
2024-06-13 15:50:00,2024-06-13 15:55:00,156.777,156.7874642857143,-764.2149191459611,-0.1528429838291922,2,short,NY   21-03JST,0,2024-06,戦略A 順張りショート
2024-06-13 15:55:00,2024-06-13 16:00:00,156.7755,156.75875,1334.6613545818143,0.26693227091636285,2,short,NY   21-03JST,0,2024-06,戦略A 順張りショート
2024-06-13 16:20:00,2024-06-13 16:25:00,156.7975,156.7885,762.7118644080452,0.15254237288160905,2,short,NY   21-03JST,1,2024-06,戦略A 順張りショート
2024-06-13 16:25:00,2024-06-13 16:30:00,156.7295,156.7924642857143,-5000.000000000161,-1.0000000000000322,1,short,NY   21-03JST,1,2024-06,戦略A 順張りショート
2024-06-18 13:00:00,2024-06-18 13:05:00,157.7775,157.7512857142857,1510.2880658447002,0.30205761316894003,2,short,NY   21-03JST,22,2024-06,戦略A 順張りショート
2024-06-18 13:05:00,2024-06-18 13:10:00,157.7005,157.79139285714285,-4999.9999999994425,-0.9999999999998885,1,short,NY   21-03JST,22,2024-06,戦略A 順張りショート
2024-07-02 13:35:00,2024-07-02 13:40:00,161.34,161.3266785714286,1368.3052090949477,0.27366104181898954,2,short,NY   21-03JST,22,2024-07,戦略A 順張りショート
2024-07-02 13:40:00,2024-07-02 13:45:00,161.2875,161.33839285714285,-5000.000000000398,-1.0000000000000797,1,short,NY   21-03JST,22,2024-07,戦略A 順張りショート
