label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q10+ac<0,1936,-0.00638,0.3541,10.618,-0.24501,-0.36814,9.71,11.93,0.8101,0.8879,▼SHORT（強）,3,1,GBPJPY,GBP,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,20217,0.00207,-0.3981,12.159,-0.17226,-0.27292,10.6,10.43,0.951,1.0545,▽short（中）,2,2,GBPJPY,GBP,JPY,"NY
21-03JST",全BreakDown
Q25,7079,0.0024,0.2989,8.884,-0.20427,-0.29713,10.69,11.47,0.8985,1.0553,▲LONG（強）,1,3,GBPJPY,GBP,JPY,"NY
21-03JST",Q25
Q10,3463,-0.00271,0.313,7.976,-0.23805,-0.32425,10.54,12.56,0.8672,0.9486,▼SHORT（強）,3,1,GBPJPY,GBP,JPY,"NY
21-03JST",Q10
Q10+ac>0,1294,-0.00644,0.969,8.528,-0.23758,-0.33401,10.36,12.44,0.8549,0.8862,▼SHORT（強）,3,1,GBPJPY,GBP,JPY,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2169,-0.00048,-0.175,7.506,-0.238,-0.31842,10.74,12.68,0.8735,0.9905,▼SHORT（強）,3,0,GBPJPY,GBP,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,18972,0.00237,-1.1014,51.775,-0.09658,-0.17778,8.24,7.43,1.0361,1.1088,▲LONG（強）,1,3,GBPJPY,GBP,JPY,"深夜
03-09JST",全BreakDown
Q25,3952,0.00351,-2.117,44.329,-0.12872,-0.23054,8.88,7.92,0.9681,1.1248,▽short（中）,2,2,GBPJPY,GBP,JPY,"深夜
03-09JST",Q25
Q10,1133,-0.00047,-2.4122,36.393,-0.17485,-0.33759,6.97,7.68,0.9132,0.9882,▼SHORT（強）,4,0,GBPJPY,GBP,JPY,"深夜
03-09JST",Q10
Q10+ac>0,463,0.00166,-0.7059,6.747,-0.20179,-0.33945,9.29,10.37,0.8892,1.0377,▽short（中）,2,2,GBPJPY,GBP,JPY,"深夜
03-09JST",Q10+ac>0
