pair,base,quote,condition,label,n,mean,std,skewness,kurtosis,p5,p95
NZDJPY,NZD,JPY,|強弱差|上位10%,|強弱差| 上位10%,18051,-3.6067067878436816e-07,0.0006867893677407389,-0.3764641375151545,18.39873265082204,-0.0010225815978453668,0.0009750209487843067
NZDJPY,NZD,JPY,|強弱差|上位5%,|強弱差| 上位5%,9026,-5.882083297022487e-07,0.0007986692013347133,-0.3242012945473888,13.945463108090408,-0.0011569463529425362,0.0011286872771952981
NZDJPY,NZD,JPY,NZD強,NZD強 上位10%（正の強弱差）,8833,-9.798332380026263e-06,0.0006349407937455239,-0.061883497001115846,19.63842597245612,-0.0009403792952990814,0.0009476451125457674
NZDJPY,NZD,JPY,JPY強,JPY強 上位10%（負の強弱差）,9218,8.682816607727854e-06,0.0007329603999001026,-0.5772200935819626,17.114089871289305,-0.0011017536227849948,0.000998286345638231
CHFJPY,CHF,JPY,全期間,全期間（3年）,182863,1.4526012233059593e-06,0.00035543450001079586,-0.07491028198008598,99.67504158186816,-0.0005072810577961977,0.0005053259354669318
CHFJPY,CHF,JPY,|強弱差|上位10%,|強弱差| 上位10%,18287,3.183154491494452e-06,0.0005660305975784644,-0.43156798113595424,22.268927240166263,-0.0008089131278954992,0.0008058990756520671
CHFJPY,CHF,JPY,|強弱差|上位5%,|強弱差| 上位5%,9144,-2.085488322986343e-06,0.0006618923976238559,-0.30187552648720345,17.864476881340973,-0.000948356843551887,0.0009149943783996951
CHFJPY,CHF,JPY,CHF強,CHF強 上位10%（正の強弱差）,8953,-4.420925666034808e-06,0.0005183252878664617,-0.4676213075407334,19.67851024713843,-0.0007549238789467076,0.0007956948084090619
CHFJPY,CHF,JPY,JPY強,JPY強 上位10%（負の強弱差）,9334,1.0476847404539176e-05,0.0006082220640914995,-0.41379326322977195,22.669530521990957,-0.0008723239369236519,0.0008171536661429272
GBPUSD,GBP,USD,全期間,全期間（3年）,205286,-3.5222800979039376e-07,0.00035848320564255045,-2.4303232153112604,262.1212682394017,-0.0004915916243801155,0.0004875478963277495
GBPUSD,GBP,USD,|強弱差|上位10%,|強弱差| 上位10%,20529,2.166783618444341e-06,0.0006417810370211749,-4.210635050818533,229.06201324248502,-0.0008573164418864383,0.000875852918407773
GBPUSD,GBP,USD,|強弱差|上位5%,|強弱差| 上位5%,10265,7.162547763117111e-06,0.0007757096192283248,-4.667418956750849,211.10608158121366,-0.0010202372360576823,0.0010645562998509686
GBPUSD,GBP,USD,GBP強,GBP強 上位10%（正の強弱差）,9792,-9.327792751988189e-06,0.00063027528290422,-0.051293846109480644,48.42774792855134,-0.0008661733402133452,0.000899605746457815
GBPUSD,GBP,USD,USD強,USD強 上位10%（負の強弱差）,10737,1.2649683107992198e-05,0.0006519497993312867,-7.641211614619062,373.21265505586905,-0.0008519016277387077,0.0008509263765133963
AUDUSD,AUD,USD,全期間,全期間（3年）,195137,-4.2506053554317333e-07,0.0004119760369846997,0.4495369904991082,48.52781270437565,-0.0006018583534864076,0.0005934541604464804
