pair,base,quote,session,horizon,n,mean,skew,exkurt,lefttail,downrate,tstat,pval,judge
EURJPY,EUR,JPY,深夜 03-09,12,18802,0.004584286079689129,-1.8528781031597723,56.44815149239145,0.9364130665347998,46.1812573130518,5.840792942430364,5.280949075900359e-09,△long（弱）
EURJPY,EUR,JPY,深夜 03-09,24,18796,0.008939155292161122,0.33552897933429937,17.203522191451707,0.9456511026071974,45.67993190040434,7.885608095142777,3.3003091421730707e-15,▲LONG
GBPJPY,GBP,JPY,東京 09-15,6,19993,0.001690235030078677,-1.620060003780824,82.35216448587316,1.0153767669810645,47.01645575951583,2.3206866002086626,0.020313773874188767,△long（弱）
GBPJPY,GBP,JPY,東京 09-15,12,19993,0.0017701051448219755,-1.9713147387410106,55.705028042866736,1.0190843815842763,47.19651878157355,1.6676640662902567,0.09539809425579929,△long（弱）
GBPJPY,GBP,JPY,東京 09-15,24,19993,0.0039224951968703575,2.5713402032231323,105.49523363195118,1.083736661439195,46.19116690841795,2.337867626643691,0.01940392554167271,▲LONG
GBPJPY,GBP,JPY,欧州 15-21,6,20410,0.00064595153574862,6.92201632739779,261.924802118342,1.052231106904564,48.13816756491916,0.700209854628464,0.483804239779055,△long
GBPJPY,GBP,JPY,欧州 15-21,12,20410,3.336561576346242e-05,5.0649191263527955,140.56367744731705,1.0740138157609163,48.64772170504655,0.025116178525417518,0.9799625412093893,△long
GBPJPY,GBP,JPY,欧州 15-21,24,20410,0.0006857896653555744,2.430512370902416,53.693932581492646,1.1151525237227131,47.91768740813327,0.3766895131647012,0.7064082731490128,△long
GBPJPY,GBP,JPY,NY   21-03,6,20217,0.0020528309938073713,-0.32496333030004576,11.267306833156116,1.0569042471883716,47.29682940099916,2.570873358408196,0.010151328571137557,△long（弱）
GBPJPY,GBP,JPY,NY   21-03,12,20217,0.0026190089020741956,-0.46453093062949946,7.704237121100769,1.0883298526809482,47.039620121679775,2.3878074438960426,0.01695834624610852,△long（弱）
GBPJPY,GBP,JPY,NY   21-03,24,20217,0.003380509085594199,-0.5879644853168036,5.35221459882983,1.1247094204549541,45.85744670326953,2.260450324748221,0.023803905760134334,△long（弱）
GBPJPY,GBP,JPY,深夜 03-09,6,18972,0.0023980416530564406,-1.3768890862591752,50.05736833374441,0.9696317101964583,46.21547543748682,4.448867432898274,8.681519386631633e-06,△long（弱）
GBPJPY,GBP,JPY,深夜 03-09,12,18968,0.004028493607058347,-1.2466332674212492,34.405784163938606,0.9693490926129087,46.53627161535217,5.274243319788371,1.3476756188997784e-07,△long（弱）
GBPJPY,GBP,JPY,深夜 03-09,24,18962,0.0074264076802442154,0.1002862095242277,18.16735578193332,0.970238684956141,46.392785571142284,6.561810305482195,5.453302918349737e-11,△long（弱）
AUDJPY,AUD,JPY,東京 09-15,6,19946,0.0020266137308540115,-1.0618132521132835,50.06111882124949,1.0293848550497038,47.613556602827636,2.1040020564147075,0.03539075242773363,△long（弱）
AUDJPY,AUD,JPY,東京 09-15,12,19946,0.002615946625162091,-1.3578656680333947,32.375408702714914,1.0655423612283197,46.62087636618871,1.8761144706159871,0.060654155040834594,△long（弱）
AUDJPY,AUD,JPY,東京 09-15,24,19946,0.005241418408995074,1.5219956605836764,75.85654885587198,1.0529599470561475,46.515592098666396,2.495607344282371,0.0125821851472908,▲LONG
AUDJPY,AUD,JPY,欧州 15-21,6,20297,0.001476509812498569,7.143811988465193,385.7155446727616,1.0701877729275073,47.465142631916045,1.6179384867703324,0.10569139432149732,▲LONG
AUDJPY,AUD,JPY,欧州 15-21,12,20297,0.002104817966865381,6.9631497281473935,243.26210841444228,1.0688064168016413,48.061289845790014,1.5590606436355994,0.11899761924482988,▲LONG
AUDJPY,AUD,JPY,欧州 15-21,24,20297,0.0010713353747695007,3.4840529859191363,105.1399041908269,1.097013205719709,48.2682169778785,0.5900590254804023,0.5551576469960556,△long
AUDJPY,AUD,JPY,NY   21-03,6,20236,0.0015560555298696683,0.019007803301634308,12.204715256857405,1.0204028526728695,47.37596362917573,1.7296766274731035,0.08370331617498174,△long（弱）
AUDJPY,AUD,JPY,NY   21-03,12,20236,0.0010126540985171603,-0.07591407716219564,7.398817916295371,1.0664933672757388,47.39573038149832,0.8170276758460213,0.41392223120671157,△long（弱）
AUDJPY,AUD,JPY,NY   21-03,24,20236,-0.0020824996483406895,-0.3181511201208021,4.505859145856066,1.1627918479869155,46.96580351848191,-1.2391225489697844,0.21531448973333128,─
AUDJPY,AUD,JPY,深夜 03-09,6,18991,0.0021902252223319125,-1.9030890481348668,54.91688213964147,0.9939161169803142,46.674740666631564,3.0728817545417426,0.0021230269717679487,△long（弱）
AUDJPY,AUD,JPY,深夜 03-09,12,18986,0.0021624171408863926,-1.6188333561870027,32.36884160483835,1.0280172510961718,47.09786158221848,2.1545830875064307,0.03120701250240426,△long（弱）
AUDJPY,AUD,JPY,深夜 03-09,24,18979,0.0073741962059723255,0.07311483936108032,17.7480991614599,1.0245631743935237,46.1878918804995,4.791132806210826,1.6709588126060157e-06,△long（弱）
NZDJPY,NZD,JPY,東京 09-15,6,20115,0.0021196053925526316,-0.41342330043258774,42.21275852805858,1.0082976288682644,48.10837683320905,2.4137980620046657,0.015796083553582814,△long（弱）
NZDJPY,NZD,JPY,東京 09-15,12,20115,0.002889075569889237,-0.919775984381976,28.429907908036725,1.0300859711388308,47.80014914243102,2.270092006545687,0.023212533798656308,△long（弱）
NZDJPY,NZD,JPY,東京 09-15,24,20115,0.003261061674023039,-0.5214901590793275,28.260103691815353,1.0235797806816551,46.795923440218736,1.7636620497272357,0.07780407354592656,△long（弱）
NZDJPY,NZD,JPY,欧州 15-21,6,20470,0.002496225116916895,0.9961392719765888,56.0213385233979,1.0209881732027641,47.694186614557886,3.124514299062823,0.0017834759851324165,▲LONG
NZDJPY,NZD,JPY,欧州 15-21,12,20470,0.00385253505467164,1.5321702925736203,45.17334946882344,1.0403006337104477,48.06546165119687,3.319921004213471,0.000902002281426144,▲LONG
NZDJPY,NZD,JPY,欧州 15-21,24,20470,0.0055493114569029325,0.8915063359757963,21.859237688964125,1.0739586236934302,47.0933072789448,3.4703013442351036,0.0005209455460416533,▲LONG
NZDJPY,NZD,JPY,NY   21-03,6,20301,0.0012253840993618895,-0.29454985110324033,12.389821461794254,1.0178631690949727,47.633121521107334,1.4858661907273367,0.1373300471426276,△long（弱）
NZDJPY,NZD,JPY,NY   21-03,12,20301,0.0009116354908648272,-0.3671383006785632,9.51425064423305,1.012041885957903,48.50499975370671,0.7944180337987623,0.42696139586940884,△long（弱）
NZDJPY,NZD,JPY,NY   21-03,24,20301,-0.0036082591717973723,-0.5941624951315699,6.299956489350095,1.110010633802982,48.160189153243685,-2.3251710627282645,0.020072621161738073,─
NZDJPY,NZD,JPY,深夜 03-09,6,19087,0.00231283059803019,-1.1787223178762931,30.20325188001766,0.9922363164187685,46.63907371509404,3.35010368091507,0.0008093784016644308,△long（弱）
NZDJPY,NZD,JPY,深夜 03-09,12,19084,0.0020297934861793023,-1.1857385039596293,20.934462142437795,1.02443927063061,46.929364913016144,2.087793550341044,0.0368296895550925,△long（弱）
NZDJPY,NZD,JPY,深夜 03-09,24,19077,0.006548141620306948,-0.02999251036953055,10.734206444607324,1.047692316387306,45.861508622949096,4.583559412932897,4.6002564484640294e-06,△long（弱）
CHFJPY,CHF,JPY,東京 09-15,6,19989,0.0011261070853868034,-2.1388996481373197,97.62779964102212,1.0259045136419287,47.66121366751713,1.7976180840000917,0.07225263751491398,△long（弱）
CHFJPY,CHF,JPY,東京 09-15,12,19989,0.0021623113301755224,-1.843805057966171,61.89112721577345,1.0093750008779814,47.69623292811046,2.3656896261436526,0.01800601212451042,△long（弱）
CHFJPY,CHF,JPY,東京 09-15,24,19989,0.0048246408757224345,-0.9443220345148808,39.94583528646265,1.0437528569046464,46.86077342538396,3.590169008033506,0.00033125496814076055,△long（弱）
CHFJPY,CHF,JPY,欧州 15-21,6,20530,0.0020946284953633617,0.30940962321155113,23.95614874417971,0.9939711502583345,48.17340477350219,2.926603594243241,0.0034306103443593507,▲LONG
CHFJPY,CHF,JPY,欧州 15-21,12,20530,0.0030668208545954275,0.5081191622592296,16.6094856857126,1.0163215012546618,48.09059912323429,3.0042537273439187,0.002665542865341168,▲LONG
CHFJPY,CHF,JPY,欧州 15-21,24,20530,0.00403263862632711,-0.01081124298179609,8.814948552676352,1.0038696254287245,48.15879201169021,2.7847049108741047,0.00536255175642669,△long（弱）
