pair,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,trend
USDJPY,1,2024-12-10 21:25:00,2024-12-11 06:00:00,151.937,151.748,-0.16439366316303602,session_end,1
AUDUSD,-1,2024-12-10 21:10:00,2024-12-11 06:00:00,0.637915,0.63724,0.06581347044669177,session_end,-1
AUDJPY,1,2024-12-11 23:10:00,2024-12-12 06:00:00,97.149,97.9735,0.8086963324378039,session_end,1
NZDJPY,1,2024-12-11 23:05:00,2024-12-12 06:00:00,88.2025,88.6405,0.4565845639296029,session_end,1
GBPJPY,1,2024-12-11 23:50:00,2024-12-12 06:00:00,194.39249999999998,194.8315,0.18583175791248688,session_end,1
AUDJPY,-1,2024-12-12 22:30:00,2024-12-13 06:00:00,97.1435,97.30199999999999,-0.20316068496604608,session_end,-1
GBPJPY,-1,2024-12-12 22:55:00,2024-12-13 06:00:00,193.39749999999998,193.61149999999998,-0.1506529298465553,session_end,-1
NZDJPY,-1,2024-12-12 22:50:00,2024-12-13 06:00:00,88.0025,88.1525,-0.21044970313344621,session_end,-1
USDJPY,1,2024-12-16 23:20:00,2024-12-17 06:00:00,154.1945,154.1365,-0.07761483061976988,session_end,1
NZDUSD,1,2024-12-16 21:35:00,2024-12-17 06:00:00,0.5779449999999999,0.57663,-0.2675303013262398,session_end,1
NZDJPY,-1,2024-12-17 22:50:00,2024-12-18 06:00:00,88.3025,88.084,0.2074448628294712,session_end,-1
GBPJPY,-1,2024-12-17 22:30:00,2024-12-18 06:00:00,195.1285,194.9375,0.057884214761045924,session_end,-1
EURJPY,-1,2024-12-17 22:40:00,2024-12-18 06:00:00,161.0625,161.20850000000002,-0.13064804035701091,session_end,-1
AUDJPY,-1,2024-12-19 02:10:00,2024-12-19 06:00:00,96.1565,96.53649999999999,-0.43518909278104534,session_end,-1
NZDJPY,-1,2024-12-18 21:45:00,2024-12-19 06:00:00,87.18299999999999,87.3215,-0.1988612458851113,session_end,-1
GBPJPY,-1,2024-12-18 22:30:00,2024-12-19 06:00:00,194.5515,195.4405,-0.49694841725711925,session_end,-1
AUDJPY,1,2024-12-19 22:20:00,2024-12-20 06:00:00,98.2305,97.7355,-0.5439168079160828,session_end,1
GBPJPY,-1,2024-12-20 01:05:00,2024-12-20 06:00:00,196.638,196.05700000000002,0.2554667968551261,session_end,-1
NZDJPY,1,2024-12-19 22:25:00,2024-12-20 06:00:00,88.61699999999999,88.316,-0.37966394709816775,session_end,1
NZDJPY,1,2024-12-23 23:45:00,2024-12-24 06:00:00,88.71449999999999,88.6,-0.169065710791354,session_end,1
GBPJPY,1,2024-12-24 00:00:00,2024-12-24 06:00:00,196.904,196.749,-0.1187185633608245,session_end,1
AUDJPY,1,2024-12-24 00:45:00,2024-12-24 06:00:00,98.15350000000001,97.9105,-0.287571406012026,session_end,1
USDJPY,1,2024-12-25 00:40:00,2024-12-25 06:00:00,157.1335,157.338,0.09014411312672892,session_end,1
AUDUSD,-1,2024-12-24 21:35:00,2024-12-25 04:25:00,0.623435,0.62331,-0.019949794284905807,session_end,-1
AUDJPY,1,2024-12-24 21:40:00,2024-12-25 06:00:00,98.116,98.0445,-0.11287292592441651,session_end,1
NZDUSD,1,2024-12-26 00:15:00,2024-12-26 06:00:00,0.5651200000000001,0.5646549999999999,-0.12228340883355,session_end,1
GBPJPY,1,2024-12-25 22:30:00,2024-12-26 06:00:00,197.377,197.464,0.00407808407260738,session_end,1
GBPUSD,1,2024-12-25 22:55:00,2024-12-26 06:00:00,1.25484,1.25441,-0.07426731694876616,session_end,1
NZDJPY,-1,2024-12-26 23:15:00,2024-12-27 06:00:00,88.719,88.655,0.03213787351073586,session_end,-1
AUDJPY,1,2024-12-26 21:20:00,2024-12-27 06:00:00,98.263,97.92,-0.3890632282751483,session_end,1
NZDUSD,-1,2024-12-26 23:05:00,2024-12-27 06:00:00,0.562395,0.56211,0.0106761262102251,session_end,-1
NZDJPY,-1,2024-12-30 23:20:00,2024-12-31 06:00:00,88.51849999999999,87.9255,0.6299164581415062,session_end,-1
GBPJPY,-1,2024-12-31 00:30:00,2024-12-31 06:00:00,196.723,196.061,0.29651377825674174,session_end,-1
EURJPY,-1,2024-12-31 00:30:00,2024-12-31 06:00:00,163.167,162.567,0.327721414256561,session_end,-1
