signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2023-04-25 14:10:00,2023-04-25 14:15:00,2023-04-25 14:30:00,NY   21-03JST,LONG,Q10+ac<0,147.1025,147.01714,146.99314,4.57,3,stop,-8.54,-3903.0,-0.781,0.10936,-0.006705,-0.2511,IS
2023-04-25 14:15:00,2023-04-25 14:20:00,2023-04-25 14:30:00,NY   21-03JST,LONG,Q10+ac<0,147.116,147.01514,147.00464,4.49,2,stop,-10.09,-4529.0,-0.906,0.11136,-0.006797,-0.268,IS
2023-04-25 14:20:00,2023-04-25 14:25:00,2023-04-25 14:35:00,NY   21-03JST,LONG,Q10+ac<0,147.051,147.01364,146.93714,4.39,2,stop,-3.74,-1641.0,-0.328,0.11386,-0.00704,-0.4491,IS
2023-04-25 14:25:00,2023-04-25 14:30:00,2023-04-25 14:35:00,NY   21-03JST,LONG,Q10+ac<0,147.113,146.99661,146.99911,4.39,1,stop,-11.64,-5110.0,-1.022,0.11389,-0.006549,-0.4537,IS
2023-04-25 14:30:00,2023-04-25 14:35:00,2023-04-25 15:00:00,NY   21-03JST,LONG,Q10+ac<0,146.9935,146.91061,146.87661,4.28,5,stop,-8.29,-3546.0,-0.709,0.11689,-0.006629,-0.5078,IS
2023-04-25 14:35:00,2023-04-25 14:40:00,2023-04-25 15:00:00,NY   21-03JST,LONG,Q10+ac<0,146.9675,146.91064,146.85064,4.28,4,stop,-5.69,-2433.0,-0.487,0.11686,-0.006907,-0.4839,IS
2023-04-25 14:40:00,2023-04-25 14:45:00,2023-04-25 15:00:00,NY   21-03JST,LONG,Q10+ac<0,146.959,146.91507,146.84657,4.45,3,stop,-4.39,-1954.0,-0.391,0.11243,-0.006307,-0.4958,IS
2023-04-25 14:45:00,2023-04-25 14:50:00,2023-04-25 15:00:00,NY   21-03JST,LONG,Q10+ac<0,146.962,146.91425,146.84975,4.45,2,stop,-4.77,-2127.0,-0.425,0.11225,-0.005729,-0.4877,IS
2023-04-25 14:50:00,2023-04-25 14:55:00,2023-04-25 15:30:00,NY   21-03JST,LONG,Q10+ac<0,146.991,147.12396,146.88546,4.74,7,stop,13.3,6299.0,1.26,0.10554,-0.004887,-0.4524,IS
2023-04-25 14:55:00,2023-04-25 15:00:00,2023-04-25 15:30:00,NY   21-03JST,LONG,Q10+ac<0,146.95,147.12164,146.84214,4.64,6,stop,17.16,7957.0,1.591,0.10786,-0.005171,-0.4761,IS
2023-04-25 18:10:00,2023-04-25 18:15:00,2023-04-25 18:45:00,NY   21-03JST,LONG,Q10+ac<0,146.337,146.45346,146.26046,6.53,6,stop,11.65,7608.0,1.522,0.07654,-0.005229,-0.1253,IS
2023-04-27 12:05:00,2023-04-27 12:10:00,2023-04-27 12:30:00,NY   21-03JST,LONG,Q10+ac<0,147.1635,147.28929,147.08129,6.08,4,stop,12.58,7650.0,1.53,0.08221,-0.005104,-0.3741,IS
2023-04-27 12:10:00,2023-04-27 12:15:00,2023-04-27 12:30:00,NY   21-03JST,LONG,Q10+ac<0,147.199,147.28779,147.11529,5.97,3,stop,8.88,5303.0,1.061,0.08371,-0.005064,-0.4109,IS
2023-05-03 22:15:00,2023-05-03 22:20:00,2023-05-03 22:30:00,NY   21-03JST,LONG,Q10+ac<0,148.923,148.87996,148.83046,5.4,2,stop,-4.3,-2325.0,-0.465,0.09254,-0.004905,-0.4851,IS
2023-05-03 22:20:00,2023-05-03 22:25:00,2023-05-03 22:35:00,NY   21-03JST,LONG,Q10+ac<0,148.9065,148.87482,148.81382,5.39,2,stop,-3.17,-1709.0,-0.342,0.09268,-0.004885,-0.5059,IS
2023-05-03 22:30:00,2023-05-03 22:35:00,2023-05-03 22:45:00,NY   21-03JST,LONG,Q10+ac<0,148.872,148.86229,148.77429,5.12,2,stop,-0.97,-497.0,-0.099,0.09771,-0.004905,-0.6337,IS
