leader,follower,lag,corr,trades,win_rate,pf,total_pnl,max_dd,ev_bp
NZDJPY,GBPJPY,9,0.007177555929392533,141935,0.10770423080987776,0.07774407244395642,-5653.895267419594,-5653.85590972164,-3.9834397910449106
NZDJPY,GBPJPY,1,-0.007433348283065956,141943,0.10657799257448412,0.07737342801088916,-5709.044228686702,-5709.0167485701495,-4.022068174328218
NZDJPY,GBPJPY,2,-0.007602847468677063,141942,0.1044299784418988,0.07677269875550713,-5722.503445113598,-5722.454135307255,-4.031578704762225
CHFJPY,GBPJPY,1,-0.008716880633978597,142066,0.10540875367786803,0.07661072962804913,-5739.992359761401,-5739.966159704027,-4.040370222123098
USDJPY,GBPJPY,2,-0.008286725263905727,141225,0.10565409807045495,0.0748112162029988,-5704.713973011361,-5704.660173068874,-4.039450503105938
AUDJPY,GBPJPY,9,0.010705226547625735,131067,0.10094074023209504,0.06832148402607088,-5229.365380899306,-5229.3311622858555,-3.989841364263549
AUDJPY,GBPJPY,8,-0.008565368107109922,131068,0.10059663686025574,0.06616747571953047,-5259.820655792611,-5259.859713554848,-4.0130471631463145
EURJPY,USDJPY,4,0.009181093800887639,143929,0.08746673707175065,0.0633462611710737,-5716.587004789069,-5716.554388019896,-3.971810409847264
NZDJPY,USDJPY,4,0.007770924143404399,143950,0.08660646057658909,0.06299295455164132,-5732.650900055207,-5732.5978731719515,-3.9823903439077504
CHFJPY,USDJPY,6,0.009917704976057127,144013,0.08556866394006096,0.06292225058434461,-5757.4597472757805,-5757.396293386337,-3.9978750163358727
AUDJPY,EURJPY,12,0.008070326555514628,132886,0.0930120554460214,0.06288423350779485,-5285.794998917814,-5285.752704708434,-3.9776914038482714
CHFJPY,USDJPY,9,0.007957466632347457,144010,0.0868897993194917,0.06260693617117918,-5753.41931881894,-5753.415802329968,-3.9951526413575036
AUDJPY,EURJPY,9,0.008299334633121516,132889,0.09195644485247086,0.06259922526854571,-5307.397514070193,-5307.376630654641,-3.993857666225341
AUDJPY,USDJPY,4,0.00833584177556403,132815,0.0876858788540451,0.062450673472918286,-5277.873048138436,-5277.835855877478,-3.9738531401863018
AUDJPY,USDJPY,9,0.010516109305110105,132810,0.08649951057902266,0.062176477366396136,-5297.246308567253,-5297.2067423265635,-3.9885899469672865
AUDJPY,EURJPY,3,-0.007899338971522977,132895,0.09094397832875578,0.062003510264226555,-5333.046922406409,-5333.043641830917,-4.012977856508077
AUDJPY,EURJPY,8,-0.007235418578724435,132890,0.09099255022951314,0.060929617559428606,-5335.8147898068455,-5335.805393328794,-4.0152116711617465
NZDJPY,USDJPY,3,-0.006946457272127056,143951,0.08438982709394169,0.060498872922733635,-5795.113155541154,-5795.075326806077,-4.025754010421014
AUDJPY,USDJPY,3,-0.009508271041382629,132816,0.08501234790989037,0.05923405203541206,-5352.05350179075,-5352.015441816963,-4.029675266376603
USDJPY,CHFJPY,7,0.007402469615283232,143497,0.08853843634361694,0.057400965581081854,-5728.108967432693,-5728.07015545498,-3.9917970183576617
USDJPY,CHFJPY,8,0.0071093373660301,143496,0.08831605062162011,0.057065976487046054,-5740.351622871589,-5740.285762010172,-4.000356541556273
GBPJPY,CHFJPY,3,-0.007444328758148042,142259,0.08800849155413717,0.05668365961595062,-5704.152148291355,-5704.085508669918,-4.009695097175823
NZDJPY,CHFJPY,2,-0.009153841506732964,144263,0.08677207600008319,0.05630040747185506,-5796.063705436109,-5795.995189342033,-4.017706345657659
EURJPY,CHFJPY,2,-0.008762128215106423,144237,0.08689171294466745,0.05627727474648274,-5796.144109504937,-5796.098450923069,-4.018486317314515
USDJPY,CHFJPY,2,-0.012773064031663058,143502,0.08683502668952349,0.055779427022329936,-5781.79385245968,-5781.748193877804,-4.029068481595853
AUDJPY,CHFJPY,9,0.011806705233411686,133134,0.08688238917181186,0.055703683774320674,-5303.024581640613,-5303.0055976663125,-3.9832233551464045
