leader,follower,lag,state,trades,win_rate,pf,total_pnl,max_dd,ev_bp
AUDJPY,NZDJPY,8,TREND,2195,0.17220956719817768,0.13911367799202254,-85.8451355487067,-85.77703705051422,-3.9109401161142
AUDJPY,NZDJPY,8,MR,19307,0.12565390790904854,0.08173026380476293,-781.1316491722105,-781.0745043011877,-4.045846838826386
AUDJPY,NZDJPY,8,NO_TRADE,111657,0.1301575360255067,0.08669453631094454,-4473.698432541058,-4473.671761346816,-4.0066439475725275
AUDJPY,NZDJPY,9,TREND,2195,0.1776765375854214,0.13798111185544984,-84.413162645771,-84.39870706126207,-3.845702170650159
AUDJPY,NZDJPY,9,MR,19307,0.13021184026518878,0.08704694371236264,-768.7338582634446,-768.6856022770548,-3.981632870272153
AUDJPY,NZDJPY,9,NO_TRADE,111656,0.12984523894819805,0.08862574123889012,-4453.41002813035,-4453.395421247708,-3.9885093753406444
AUDJPY,CHFJPY,3,TREND,1102,0.11796733212341198,0.09862925849479401,-45.68032242459449,-45.62869985354846,-4.145219820743602
AUDJPY,CHFJPY,3,MR,19604,0.08605386655784533,0.05255572921666074,-787.7294132444057,-787.6826683501855,-4.0182075762314104
AUDJPY,CHFJPY,3,NO_TRADE,112434,0.08547236601028159,0.05318779273243518,-4511.18847305646,-4511.203009739763,-4.012299191575911
AUDJPY,CHFJPY,9,TREND,1102,0.13157894736842105,0.10780748411414284,-43.220790584181636,-43.18399251815001,-3.9220318134466097
AUDJPY,CHFJPY,9,MR,19604,0.08666598653336054,0.05815575746763154,-778.433862373621,-778.4152843145256,-3.9707909731362014
AUDJPY,CHFJPY,9,NO_TRADE,112428,0.08648201515636675,0.054743799492484424,-4481.3699286828105,-4481.350944708511,-3.9859909708282726
NZDJPY,USDJPY,3,TREND,2125,0.11811764705882354,0.08735274123425661,-86.23524918998918,-86.16834110264465,-4.05812937364655
NZDJPY,USDJPY,3,MR,18940,0.0839493136219641,0.0601908744616943,-757.320936177756,-757.2796333282008,-3.9985265901676663
NZDJPY,USDJPY,3,NO_TRADE,122886,0.08387448529531435,0.06006432141725258,-4951.556970173409,-4951.519141438314,-4.029390630481429
NZDJPY,USDJPY,4,TREND,2125,0.1228235294117647,0.08342244923297243,-84.4575650556303,-84.43232200010145,-3.97447364967672
NZDJPY,USDJPY,4,MR,18940,0.08553326293558607,0.06442728292038306,-754.0498306770917,-753.9820405962337,-3.9812557057924582
NZDJPY,USDJPY,4,NO_TRADE,122885,0.08614558326890996,0.062410857789212,-4894.143504322486,-4894.090477439201,-3.982702123385674
NZDJPY,GBPJPY,1,TREND,2449,0.17109024091465905,0.1879662695809732,-92.76468963454757,-92.72423932875382,-3.7878599279112932
NZDJPY,GBPJPY,1,MR,20061,0.10168984596979214,0.07584711705982786,-806.4888378638497,-806.4228265953659,-4.020182632290761
NZDJPY,GBPJPY,1,NO_TRADE,119433,0.10607621009268794,0.07520036803426419,-4809.7907011883035,-4809.7632210717275,-4.027187378018056
NZDJPY,GBPJPY,2,TREND,2449,0.16292364230298081,0.17046970414090826,-97.78730016754392,-97.77256824114774,-3.992948148940135
NZDJPY,GBPJPY,2,MR,20061,0.1017895418972135,0.07975483264903208,-801.9779920117511,-801.9469448647199,-3.9976969842567724
NZDJPY,GBPJPY,2,NO_TRADE,119432,0.1036740572040994,0.07415336113686061,-4822.738152934304,-4822.688843127961,-4.038061954027651
NZDJPY,GBPJPY,9,TREND,2449,0.1727235606369947,0.17942886921580628,-94.10409279403468,-94.08456879719034,-3.842551767825018
NZDJPY,GBPJPY,9,MR,20061,0.10478041971985444,0.07592935718507575,-802.2655846166465,-802.2117860025807,-3.9991305748300014
NZDJPY,GBPJPY,9,NO_TRADE,119425,0.10686204731002721,0.07578476130283035,-4757.525590008913,-4757.486232310935,-3.98369318820089
NZDJPY,AUDJPY,3,TREND,2719,0.1732254505332843,0.14135017745432912,-108.29780515224081,-108.25363144243818,-3.9830012928371024
NZDJPY,AUDJPY,3,MR,19718,0.1276498630692768,0.08836586767674759,-799.0955781649789,-799.0346469657544,-4.052619830434014
NZDJPY,AUDJPY,3,NO_TRADE,110687,0.13055733735669048,0.09127951470439379,-4461.632497241866,-4461.578736693289,-4.030855021133346
NZDJPY,AUDJPY,9,TREND,2719,0.18242000735564545,0.15194821218292515,-106.78340613505593,-106.74102100870344,-3.9273043815761652
