leader,follower,lag,corr,pval,n
GBPJPY,USDJPY,12,0.00113386639268847,0.6685763858310776,142554.0
GBPJPY,EURJPY,1,-0.004472538193240136,0.0910884234596737,142727.0
GBPJPY,EURJPY,2,-0.001156817039841188,0.6620886311785396,142726.0
GBPJPY,EURJPY,3,-0.0015976150452626631,0.5461378850992427,142725.0
GBPJPY,EURJPY,4,0.006138141182910104,0.02039940382452697,142724.0
GBPJPY,EURJPY,5,-0.00035026012844022755,0.8947291637942257,142723.0
GBPJPY,EURJPY,6,-0.001916448416336273,0.4690650959254945,142722.0
GBPJPY,EURJPY,7,0.003655718580556037,0.16725875669671791,142721.0
GBPJPY,EURJPY,8,0.003586169195542307,0.17548566213580097,142720.0
GBPJPY,EURJPY,9,0.0006405653094479156,0.8087865589388458,142719.0
GBPJPY,EURJPY,10,0.002400580467506612,0.36446734158179306,142718.0
GBPJPY,EURJPY,11,-0.006069147769048481,0.02185964729267592,142717.0
GBPJPY,EURJPY,12,0.0032458557743754207,0.22012174374185783,142716.0
GBPJPY,AUDJPY,1,-0.0023501926376067626,0.3932557927649405,131959.0
GBPJPY,AUDJPY,2,0.00024087366245902019,0.9302748832984253,131958.0
GBPJPY,AUDJPY,3,-0.0071277518270375885,0.009619155809097949,131957.0
GBPJPY,AUDJPY,4,0.00035945639284271156,0.8961123176706064,131956.0
GBPJPY,AUDJPY,5,2.1838774944627393e-05,0.9936704535608901,131955.0
GBPJPY,AUDJPY,6,-0.006262608355388047,0.022910556988099594,131954.0
GBPJPY,AUDJPY,7,0.002537248178975234,0.35670769073523984,131953.0
GBPJPY,AUDJPY,8,-0.0003737846697145679,0.891997780051774,131952.0
GBPJPY,AUDJPY,9,0.00672726262843595,0.014538045315511604,131951.0
GBPJPY,AUDJPY,10,0.0017761278295308819,0.518816081788064,131950.0
GBPJPY,AUDJPY,11,0.0003701698288990715,0.8930371589385553,131949.0
GBPJPY,AUDJPY,12,0.004727739774994292,0.0859192360502299,131948.0
GBPJPY,NZDJPY,1,-0.011153696845644465,2.4800810692816757e-05,142912.0
GBPJPY,NZDJPY,2,0.0022253339168468,0.40020824434663027,142911.0
GBPJPY,NZDJPY,3,-0.007345260007426186,0.00549013297112116,142910.0
GBPJPY,NZDJPY,4,0.0020109084203086946,0.4471446090214214,142909.0
GBPJPY,NZDJPY,5,-0.0019190318394933473,0.468176451938114,142908.0
GBPJPY,NZDJPY,6,-0.0006791830604812261,0.7973720463157815,142907.0
GBPJPY,NZDJPY,7,0.0033077852537974563,0.2111419405762443,142906.0
GBPJPY,NZDJPY,8,-0.00018722830192653553,0.94357533256073,142905.0
GBPJPY,NZDJPY,9,0.0011932892115690164,0.6519238889180363,142904.0
GBPJPY,NZDJPY,10,-0.0008366529145143881,0.7517952143594626,142903.0
GBPJPY,NZDJPY,11,-0.0013581132356162145,0.6076751235809007,142902.0
GBPJPY,NZDJPY,12,-0.0005511875435890318,0.8349482932240909,142901.0
GBPJPY,CHFJPY,1,-0.0012042297102275883,0.6489746772302402,142879.0
GBPJPY,CHFJPY,2,-0.0017060939307463237,0.5190018474500235,142878.0
GBPJPY,CHFJPY,3,-0.007444328758148042,0.00489441912438417,142877.0
GBPJPY,CHFJPY,4,-0.0010793864547350841,0.6832786621023449,142876.0
GBPJPY,CHFJPY,5,-0.004008441192692084,0.1297379967224101,142875.0
GBPJPY,CHFJPY,6,-0.0006517796137987379,0.8054020634134457,142874.0
GBPJPY,CHFJPY,7,0.004504544714586913,0.08863431755039308,142873.0
GBPJPY,CHFJPY,8,0.0030388243068075584,0.25071272546535894,142872.0
GBPJPY,CHFJPY,9,-0.00027320715808408134,0.917751299027904,142871.0
GBPJPY,CHFJPY,10,0.003343348495149832,0.20633187585275806,142870.0
GBPJPY,CHFJPY,11,-0.0059384091345801296,0.024793760150632126,142869.0
GBPJPY,CHFJPY,12,0.0009699152707613005,0.7139141830554587,142868.0
AUDJPY,USDJPY,1,0.0050517755179755605,0.06471351874828021,133708.0
AUDJPY,USDJPY,2,0.002517626908963377,0.357265832497747,133707.0
AUDJPY,USDJPY,3,-0.009508271041382629,0.0005073900006381834,133706.0
AUDJPY,USDJPY,4,0.00833584177556403,0.002303064014261012,133705.0
AUDJPY,USDJPY,5,0.0038286329700504347,0.16152738295226177,133704.0
AUDJPY,USDJPY,6,-0.002549324784123096,0.3512517072718033,133703.0
AUDJPY,USDJPY,7,-0.0004955196505900018,0.856221202378507,133702.0
AUDJPY,USDJPY,8,-0.006536435916220461,0.016845592650914086,133701.0
AUDJPY,USDJPY,9,0.010516109305110105,0.00012041149677081511,133700.0
AUDJPY,USDJPY,10,-0.0017594456207197496,0.520007687865532,133699.0
AUDJPY,USDJPY,11,0.0008800477834213318,0.7476161755161126,133698.0
AUDJPY,USDJPY,12,0.0036329409576756665,0.18405844557523698,133697.0
AUDJPY,EURJPY,1,0.00526833218296943,0.053977505581338577,133791.0
AUDJPY,EURJPY,2,-0.000992443321830314,0.7166005355999042,133790.0
AUDJPY,EURJPY,3,-0.007899338971522977,0.0038601039373191365,133789.0
AUDJPY,EURJPY,4,0.005615652609913725,0.03997214798547261,133788.0
AUDJPY,EURJPY,5,0.0032984575298905406,0.22763797842636488,133787.0
AUDJPY,EURJPY,6,-0.001286203331289743,0.6380353952557285,133786.0
AUDJPY,EURJPY,7,0.0006950507215289007,0.7993226653590635,133785.0
AUDJPY,EURJPY,8,-0.007235418578724435,0.008133613307423307,133784.0
AUDJPY,EURJPY,9,0.008299334633121516,0.0024004303728025066,133783.0
AUDJPY,EURJPY,10,0.0024723673098444323,0.3658408617272794,133782.0
AUDJPY,EURJPY,11,0.0005700787496691584,0.8348303403456484,133781.0
AUDJPY,EURJPY,12,0.008070326555514628,0.003159080909923018,133780.0
AUDJPY,GBPJPY,1,0.003198914274889694,0.245221359252094,131959.0
AUDJPY,GBPJPY,2,-0.004166794235988159,0.13012151101105338,131958.0
AUDJPY,GBPJPY,3,-0.005051072742370218,0.06652921426204284,131957.0
AUDJPY,GBPJPY,4,0.004069539467727533,0.1393321030316536,131956.0
AUDJPY,GBPJPY,5,0.00010764410802606547,0.9688090589038073,131955.0
AUDJPY,GBPJPY,6,-0.0009475779463823492,0.7306891225901887,131954.0
AUDJPY,GBPJPY,7,0.00203570423419087,0.45962155651543024,131953.0
AUDJPY,GBPJPY,8,-0.008565368107109922,0.0018619337937146473,131952.0
AUDJPY,GBPJPY,9,0.010705226547625735,0.00010075994666731027,131951.0
AUDJPY,GBPJPY,10,0.001388984498444708,0.6138798481599524,131950.0
AUDJPY,GBPJPY,11,-0.0005062173939583091,0.8541070854926062,131949.0
AUDJPY,GBPJPY,12,0.0058116604600613984,0.034766898045912285,131948.0
