Date,化学,ゴム製品,ガラス･土石製品,鉄鋼,海運業,卸売業,小売業,保険業,不動産業,サービス業
2021-01-28,106.55209866073521,106.12774293769061,105.24187365809121,100.9864240964336,95.67146470101824,104.48781315326113,100.65208188936403,100.43199078101345,102.64023712261603,100.77166874103376
2021-01-29,104.87572162268538,104.04102046329584,104.16071869838876,99.38404348423519,94.88921568011651,102.32734914553316,100.25310550786438,98.38573068825703,102.70322470397124,99.91827538493222
2021-02-01,106.31450479881588,105.85387561763395,106.00764109214553,101.23848074691016,96.89687010644577,103.07016497946333,100.80324546382815,99.10193103167761,102.89296066143712,99.86548949754199
2021-02-02,106.9027306278725,107.46160455295264,107.69955036081853,102.82245498327909,98.21353167267165,104.2588955225196,101.80617900645407,99.54955184595742,104.27362104860003,101.8538516849478
2021-02-03,108.30648032703574,108.99868575614823,108.47164825744056,103.18985288809017,99.78387129999162,104.70950837315074,103.50077077490214,102.1208667425228,105.96626545475551,103.57255714649969
2021-02-04,107.96814829533649,110.4403830903806,109.26144423534122,104.1235438279956,102.4145034002681,104.59526535939648,104.21002303255993,102.54209775066603,106.70480778421785,103.80111773824015
2021-02-05,107.89161023358487,111.27266879888869,110.33442878231314,105.60397889862531,101.45784229454556,105.32492379284169,105.12551355552058,103.91559988088149,107.49162259779357,105.24415940822473
2021-02-08,110.70293463262966,113.90980138770657,111.4002254980296,109.55059277970112,105.74129085992054,106.99528205936357,106.2224190470311,105.19003610069247,108.67176317482061,106.08432902026462
2021-02-09,110.77395518728852,112.81274740630653,110.6033118471194,109.37364558035203,104.92437916568076,107.49825393023187,105.78775147027173,105.51248899774902,109.39998459225464,105.50496273882446
2021-02-10,110.2860983207181,116.3342134984174,110.38652357088871,109.7604495061388,105.98659695538932,106.75227968596441,105.6917033879898,106.7672839745586,110.85086240201151,105.91025241729137
2021-02-12,109.90463278378574,116.14156652910856,109.4886113174522,110.205684022129,102.13868077799057,106.2019208235911,105.35751697305284,107.21345900526428,111.34666088020909,105.70285822384243
2021-02-15,110.63278794201537,116.05515503458348,110.71028823369235,109.87183660532315,102.0821414473724,106.52661875485362,106.408317712918,106.74197980427192,110.52284693977326,104.49762057538238
2021-02-16,109.8032679554498,116.28153770488913,110.03654995982306,110.00457454244965,103.85273139677847,105.71684423926398,105.6917700356389,106.50584713272993,110.76387100754124,103.62800710307071
2021-02-17,111.1268855941449,116.54796168992098,110.8761969955389,112.51329151279796,106.86708979453452,106.28922234844134,106.1475818323171,105.65036751008105,110.43993879378658,104.08948143585629
2021-02-18,109.32934890526384,115.20110631230354,109.41555340985607,110.4371970038026,105.2684126358544,104.76943311508737,106.15245313428699,104.01453404315832,109.18033490906949,102.5778550082728
2021-02-19,109.3259627402644,114.80341766478321,109.84954840667176,108.91971541153163,106.2763959155321,103.86090092407842,104.88227642235924,102.78488081084176,108.68977173442518,100.87139785530321
2021-02-22,110.37380999262633,116.82203577498794,111.00964421063307,111.10284835972502,110.91739065133702,105.3054115929697,105.85049916082934,103.68671449482258,110.08528599751355,102.46176441659772
2021-02-24,109.01925254353611,115.57470318194653,109.84432533841711,109.9865174562238,110.21730464214912,103.38190262349079,104.75634758877914,102.268098738109,110.17766035146914,101.69708288222998
2021-02-25,110.8553195781373,116.75881303902635,111.54267980284725,111.43730075187143,112.11971253799582,104.31578987770351,105.88072024524004,103.5560076801522,111.63734558923126,101.94195787418705
2021-02-26,107.42944566550376,113.51080228501674,108.12437774601682,108.02674565069448,109.62557028089176,101.92652044299895,104.18682302583322,101.63971250487738,108.95155393285962,99.5624096628976
