pair,threshold,direction,n,max_bars,fib,reach_rate,sl_rate,cut_pips
AUDUSD,0.01,up,737,3,0.618,40.84,48.17,14.9
AUDUSD,0.01,up,737,3,0.786,30.94,48.17,14.9
AUDUSD,0.01,up,737,5,0.236,73.81,56.17,14.9
AUDUSD,0.01,up,737,5,0.382,64.31,56.17,14.9
AUDUSD,0.01,up,737,5,0.5,56.72,56.17,14.9
AUDUSD,0.01,up,737,5,0.618,49.66,56.17,14.9
AUDUSD,0.01,up,737,5,0.786,39.76,56.17,14.9
AUDUSD,0.02,down,1474,1,0.236,57.19,34.67,12.0
AUDUSD,0.02,down,1474,1,0.382,46.4,34.67,12.0
AUDUSD,0.02,down,1474,1,0.5,37.86,34.67,12.0
AUDUSD,0.02,down,1474,1,0.618,29.99,34.67,12.0
AUDUSD,0.02,down,1474,1,0.786,21.64,34.67,12.0
AUDUSD,0.02,down,1474,2,0.236,65.54,44.03,12.0
AUDUSD,0.02,down,1474,2,0.382,55.16,44.03,12.0
AUDUSD,0.02,down,1474,2,0.5,46.68,44.03,12.0
AUDUSD,0.02,down,1474,2,0.618,39.01,44.03,12.0
AUDUSD,0.02,down,1474,2,0.786,29.58,44.03,12.0
AUDUSD,0.02,down,1474,3,0.236,70.9,49.19,12.0
AUDUSD,0.02,down,1474,3,0.382,62.01,49.19,12.0
AUDUSD,0.02,down,1474,3,0.5,53.26,49.19,12.0
AUDUSD,0.02,down,1474,3,0.618,45.73,49.19,12.0
AUDUSD,0.02,down,1474,3,0.786,36.09,49.19,12.0
AUDUSD,0.02,down,1474,5,0.236,76.32,57.26,12.0
AUDUSD,0.02,down,1474,5,0.382,68.52,57.26,12.0
AUDUSD,0.02,down,1474,5,0.5,60.72,57.26,12.0
AUDUSD,0.02,down,1474,5,0.618,53.87,57.26,12.0
AUDUSD,0.02,down,1474,5,0.786,44.64,57.26,12.0
AUDUSD,0.02,up,1450,1,0.236,58.14,36.62,12.0
AUDUSD,0.02,up,1450,1,0.382,46.0,36.62,12.0
AUDUSD,0.02,up,1450,1,0.5,38.07,36.62,12.0
AUDUSD,0.02,up,1450,1,0.618,30.83,36.62,12.0
AUDUSD,0.02,up,1450,1,0.786,21.59,36.62,12.0
AUDUSD,0.02,up,1450,2,0.236,66.28,46.21,12.0
AUDUSD,0.02,up,1450,2,0.382,55.17,46.21,12.0
AUDUSD,0.02,up,1450,2,0.5,46.9,46.21,12.0
AUDUSD,0.02,up,1450,2,0.618,38.83,46.21,12.0
AUDUSD,0.02,up,1450,2,0.786,29.52,46.21,12.0
AUDUSD,0.02,up,1450,3,0.236,71.24,50.62,12.0
AUDUSD,0.02,up,1450,3,0.382,60.62,50.62,12.0
AUDUSD,0.02,up,1450,3,0.5,53.45,50.62,12.0
AUDUSD,0.02,up,1450,3,0.618,44.62,50.62,12.0
AUDUSD,0.02,up,1450,3,0.786,35.52,50.62,12.0
AUDUSD,0.02,up,1450,5,0.236,76.28,58.28,12.0
AUDUSD,0.02,up,1450,5,0.382,67.79,58.28,12.0
AUDUSD,0.02,up,1450,5,0.5,60.28,58.28,12.0
AUDUSD,0.02,up,1450,5,0.618,53.72,58.28,12.0
AUDUSD,0.02,up,1450,5,0.786,44.69,58.28,12.0
AUDUSD,0.03,down,2255,1,0.236,58.27,36.36,10.6
AUDUSD,0.03,down,2255,1,0.382,46.92,36.36,10.6
AUDUSD,0.03,down,2255,1,0.5,38.85,36.36,10.6
AUDUSD,0.03,down,2255,1,0.618,31.0,36.36,10.6
AUDUSD,0.03,down,2255,1,0.786,22.66,36.36,10.6
AUDUSD,0.03,down,2255,2,0.236,66.16,45.59,10.6
AUDUSD,0.03,down,2255,2,0.382,56.19,45.59,10.6
AUDUSD,0.03,down,2255,2,0.5,48.43,45.59,10.6
