window,entry_thr,exit_ratio,trades,closed_cnt,forced_cnt,closed_pct,win_rate,pf,total_pnl,max_dd,avg_hold_bars,med_hold_bars,closed_pnl,forced_pnl
24,0.003,0.2,28,28,0,100.0,0.2857142857142857,0.25911200290695635,-5.764071187940497,-6.457562919436704,17.357142857142858,16.5,-0.2058596852835892,
24,0.005,0.2,5,5,0,100.0,0.4,0.6508062907562915,-0.1665722961595506,-0.39573039070999183,14.2,12.0,-0.03331445923191012,
24,0.001,0.2,840,840,0,100.0,0.3047619047619048,0.4633357783755738,-261.3101087360763,-265.39163316551833,16.311904761904763,13.0,-0.3110834627810432,
24,0.001,0.1,775,775,0,100.0,0.3161290322580645,0.4604731258935736,-267.56604655237675,-278.88592200856783,20.646451612903224,18.0,-0.34524651168048615,
12,0.005,0.2,2,2,0,100.0,0.0,0.0,-0.4264683408817138,-0.08001600320062252,13.0,13.0,-0.2132341704408569,
24,0.003,0.1,26,26,0,100.0,0.38461538461538464,0.39099136226955755,-3.7983321267341945,-5.053625937933755,20.03846153846154,20.0,-0.1460896971820844,
12,0.0005,0.2,2939,2938,1,99.96597482136781,0.2745831915617557,0.3902489056164977,-1790.6499158467316,-1789.2070564210444,9.354542361347397,7.0,-0.6092069693038591,-0.799840031993293
6,0.0005,0.2,2630,2629,1,99.96197718631178,0.25741444866920155,0.3583362326584537,-1583.0794887638772,-1583.8256090965012,6.288593155893536,5.0,-0.6018560854818881,-0.799840031993293
6,0.0005,0.1,2174,2173,1,99.9540018399264,0.2755289788408464,0.43370457087340375,-1283.6838396689352,-1284.7906607396765,10.128794848206072,8.0,-0.5903745971638021,-0.799840031993293
24,0.0005,0.2,2933,2931,2,99.93181043300375,0.286055233549267,0.40585863267330075,-1837.192509158679,-1841.8849634514072,13.89601091033072,9.0,-0.6260945149580235,-1.0547429083561655
12,0.0005,0.1,2412,2410,2,99.91708126036484,0.31923714759535654,0.4854221690346071,-1325.806462993433,-1325.4332117548606,14.075456053067994,10.5,-0.5499250298220999,-0.24357056108603725
24,0.0005,0.1,2386,2384,2,99.91617770326907,0.31726739312657165,0.5029830517551348,-1317.6074443909552,-1329.1776898742248,20.033109807208717,14.0,-0.5518028349724173,-1.0547429083561655
3,0.0005,0.0,27,19,8,70.37037037037037,0.4074074074074074,0.49717882066072344,-162.35691910119843,-171.21140055847565,3932.4444444444443,1419.0,-0.6157667679835599,-18.832168813688845
3,0.001,0.0,27,19,8,70.37037037037037,0.48148148148148145,1.0372300888653454,3.9642859254168723,-41.52802714205716,3695.4814814814813,1274.0,-0.9776631400584852,2.8174856983160113
3,0.002,0.0,14,9,5,64.28571428571429,0.5,2.124626375630473,17.954930610443284,-10.266853457546578,3916.1428571428573,1278.0,-1.1407614952829528,5.644356813597972
3,0.003,0.0,6,3,3,50.0,0.5,1.0936516132006622,0.6269709008676443,-4.144630457817655,5675.0,6195.5,-1.3815434859392184,1.5905337862284332
6,0.002,0.0,10,2,8,20.0,0.7,9.265661098169298,41.745462769703366,-3.474410772501213,6360.2,7012.5,-0.4158425783475084,5.322143490799798
12,0.003,0.0,5,1,4,20.0,0.6,2.8547863840872774,6.233767389914731,-1.0446346872233416,8603.8,9694.0,-1.0446346872233412,1.8196005192845182
12,0.002,0.0,12,2,10,16.666666666666664,0.5,1.7878111529886205,22.37759365466219,-14.092862176067422,6708.583333333333,7010.0,-0.19503535103360115,2.276766435672939
6,0.0005,0.0,13,2,11,15.384615384615385,0.5384615384615384,1.4707213951936446,66.77803887891588,-48.37977129709081,8290.153846153846,9815.0,-6.3308141856636135,7.221787931840282
6,0.001,0.0,13,2,11,15.384615384615385,0.5384615384615384,1.4729037926186894,32.60698319524824,-24.80931490674243,8189.384615384615,9689.0,1.7422516500812946,2.647498172280514
12,0.0005,0.0,13,2,11,15.384615384615385,0.46153846153846156,0.5875449258708049,-92.39052904733038,-170.15409276684767,8283.538461538461,9808.0,3.008494253310956,-8.946137959450208
12,0.001,0.0,13,2,11,15.384615384615385,0.38461538461538464,0.925778824661556,-7.1709378695808965,-37.06635452950269,8196.384615384615,9707.0,-3.012191084211746,-0.10423233646885487
6,0.003,0.0,7,1,6,14.285714285714285,0.5714285714285714,2.678746541117605,8.088771033905669,-2.5020658091347396,7634.571428571428,9653.0,-1.0446346872233412,1.522234286854835
24,0.0005,0.0,11,0,11,0.0,0.5454545454545454,0.901955165424059,-17.80995551378718,-131.16771236477564,9785.363636363636,9797.0,,-1.6190868648897436
24,0.002,0.0,10,0,10,0.0,0.3,0.2635719332435096,-51.952543192607614,-61.33923066560771,9187.9,9688.0,,-5.195254319260761
24,0.001,0.0,11,0,11,0.0,0.5454545454545454,1.5190818483561166,34.98477559765523,-36.186760709031375,9737.90909090909,9724.0,,3.1804341452413847
24,0.003,0.0,7,0,7,0.0,0.5714285714285714,1.4713818555375662,3.48166349495486,-5.980222408372852,7042.714285714285,9676.0,,0.4973804992792657
24,0.005,0.0,2,0,2,0.0,1.0,99.0,0.8732924571153378,0.0,9687.0,9687.0,,0.4366462285576689
