entry_time,exit_time,direction,entry_price,exit_price,stop_price,pnl_pips,exit_reason,hold_bars
2022-01-13 05:55:00+00:00,2022-01-13 06:00:00+00:00,Short,114.501,114.54725,114.54725,-5.12,stop,1
2022-01-13 06:15:00+00:00,2022-01-13 06:40:00+00:00,Long,114.614,114.63,114.54025,1.1,tp,5
2022-01-13 07:25:00+00:00,2022-01-13 07:50:00+00:00,Short,114.526,114.433,114.60475,8.8,tp,5
2022-01-13 11:20:00+00:00,2022-01-13 12:25:00+00:00,Short,114.4535,114.423,114.526,2.55,tp,13
2022-01-13 15:40:00+00:00,2022-01-13 16:20:00+00:00,Short,114.1095,114.077,114.263,2.75,tp,8
2022-01-13 16:40:00+00:00,2022-01-13 17:30:00+00:00,Short,114.035,114.02,114.108,1.0,tp,10
2022-01-13 18:05:00+00:00,2022-01-13 18:30:00+00:00,Long,114.107,114.12,114.0425,0.8,tp,5
2022-01-13 18:40:00+00:00,2022-01-13 19:45:00+00:00,Long,114.1395,114.08775,114.08775,-5.67,stop,13
2022-01-13 19:50:00+00:00,2022-01-13 20:30:00+00:00,Short,114.0815,114.08,114.1215,-0.35,tp,8
2022-01-13 21:00:00+00:00,2022-01-13 21:50:00+00:00,Long,114.1435,114.165,114.084,1.65,tp,10
2022-01-13 22:00:00+00:00,2022-01-13 22:55:00+00:00,Long,114.177,114.188,114.14275,0.6,tp,11
2022-01-14 00:50:00+00:00,2022-01-14 01:05:00+00:00,Short,114.085,113.954,114.1375,12.6,tp,3
2022-01-14 03:25:00+00:00,2022-01-14 03:45:00+00:00,Short,113.7535,113.704,113.792,4.45,tp,4
2022-01-14 05:05:00+00:00,2022-01-14 05:25:00+00:00,Short,113.7325,113.716,113.777,1.15,tp,4
2022-01-14 06:40:00+00:00,2022-01-14 06:45:00+00:00,Short,113.697,113.72375,113.72375,-3.17,stop,1
2022-01-14 06:50:00+00:00,2022-01-14 07:20:00+00:00,Long,113.7845,113.8085,113.718,1.9,tp,6
2022-01-17 04:30:00+00:00,2022-01-17 04:35:00+00:00,Long,114.4455,114.42725,114.42725,-2.32,stop,1
2022-01-17 05:00:00+00:00,2022-01-17 05:05:00+00:00,Short,114.407,114.4275,114.4275,-2.55,stop,1
2022-01-17 05:10:00+00:00,2022-01-17 06:00:00+00:00,Long,114.4625,114.467,114.42625,-0.05,tp,10
2022-01-17 06:30:00+00:00,2022-01-17 06:55:00+00:00,Long,114.4985,114.5115,114.47025,0.8,tp,5
2022-01-17 07:40:00+00:00,2022-01-17 08:05:00+00:00,Short,114.44,114.3845,114.49575,5.05,tp,5
