str_thr,acf_pos,acf_neg,trades,win_rate,pf,total_pnl,max_dd,t_trades,t_wr,t_pf,m_trades,m_wr,m_pf,trend_pct,mr_pct
0.0008,0.15,-0.08,290,0.296551724137931,0.24679891337959198,-9.106716874859167,-9.100991435396116,86.0,0.06976744186046512,-5.391343237074576,204.0,0.39215686274509803,-3.7153736377845914,1.0046374403364053,58.05532712181971
0.001,0.08,-0.1,364,0.3076923076923077,0.24080148148734146,-13.479266454908013,-13.448727607751456,153.0,0.1830065359477124,-9.171018000122888,211.0,0.3981042654028436,-4.308248454785124,1.0046374403364053,58.05532712181971
0.0008,0.02,-0.02,741,0.25371120107962214,0.24052190446201438,-28.287268834374288,-28.234813254560038,468.0,0.14957264957264957,-22.72062948565882,273.0,0.43223443223443225,-5.566639348715475,1.0046374403364053,58.05532712181971
0.001,0.05,-0.1,424,0.28537735849056606,0.23493770928053312,-15.993498265202575,-15.96295941804602,213.0,0.17370892018779344,-11.685249810417453,211.0,0.3981042654028436,-4.308248454785124,1.0046374403364053,58.05532712181971
0.001,0.1,-0.1,332,0.30120481927710846,0.2343410378134194,-12.17894250654566,-12.148403659389098,121.0,0.1322314049586777,-7.870694051760536,211.0,0.3981042654028436,-4.308248454785124,1.0046374403364053,58.05532712181971
0.0015,0.08,-0.15,233,0.31759656652360513,0.2330278812164496,-8.806094316513146,-8.816476132258867,76.0,0.15789473684210525,-5.795053898744529,157.0,0.39490445859872614,-3.011040417768618,1.0046374403364053,58.05532712181971
0.0015,0.1,-0.15,217,0.3087557603686636,0.23174108519558692,-8.073482448437991,-8.08386426418371,60.0,0.08333333333333333,-5.062442030669373,157.0,0.39490445859872614,-3.011040417768618,1.0046374403364053,58.05532712181971
0.0008,0.02,-0.05,699,0.23605150214592274,0.22763268788831223,-26.94137466207804,-26.88127976152309,468.0,0.14957264957264957,-22.72062948565882,231.0,0.41125541125541126,-4.220745176419227,1.0046374403364053,58.05532712181971
0.0008,0.1,-0.02,456,0.3026315789473684,0.22572062154572503,-16.90148514861647,-16.916114004994306,183.0,0.1092896174863388,-11.334845799900993,273.0,0.43223443223443225,-5.566639348715475,1.0046374403364053,58.05532712181971
0.0015,0.05,-0.15,261,0.30268199233716475,0.2242140101809936,-10.099476096120608,-10.109857911866332,104.0,0.16346153846153846,-7.08843567835199,157.0,0.39490445859872614,-3.011040417768618,1.0046374403364053,58.05532712181971
0.0008,0.02,-0.08,672,0.22321428571428573,0.2209097323174552,-26.436003123443406,-26.375908222888455,468.0,0.14957264957264957,-22.72062948565882,204.0,0.39215686274509803,-3.7153736377845914,1.0046374403364053,58.05532712181971
0.0008,0.08,-0.02,500,0.298,0.22084494089335185,-19.28018340533831,-19.29481226171614,227.0,0.13656387665198239,-13.713544056622833,273.0,0.43223443223443225,-5.566639348715475,1.0046374403364053,58.05532712181971
0.0008,0.15,-0.1,259,0.27413127413127414,0.2207414156523696,-8.627279169380486,-8.596740322223935,86.0,0.06976744186046512,-5.391343237074576,173.0,0.37572254335260113,-3.235935932305911,1.0046374403364053,58.05532712181971
0.001,0.08,-0.15,285,0.26666666666666666,0.21244128037869855,-11.52801317503549,-11.526897437959835,153.0,0.1830065359477124,-9.171018000122888,132.0,0.36363636363636365,-2.3569951749126017,1.0046374403364053,58.05532712181971
0.0008,0.02,-0.1,641,0.21060842433697347,0.21134245815977182,-25.956565417964725,-25.89647051740978,468.0,0.14957264957264957,-22.72062948565882,173.0,0.37572254335260113,-3.235935932305911,1.0046374403364053,58.05532712181971
0.001,0.05,-0.15,345,0.2463768115942029,0.21057259361925784,-14.042244985330054,-14.041129248254396,213.0,0.17370892018779344,-11.685249810417453,132.0,0.36363636363636365,-2.3569951749126017,1.0046374403364053,58.05532712181971
0.0008,0.05,-0.02,608,0.2730263157894737,0.20969839764088083,-23.785506054799782,-23.800134911177622,335.0,0.14328358208955225,-18.218866706084306,273.0,0.43223443223443225,-5.566639348715475,1.0046374403364053,58.05532712181971
0.0008,0.1,-0.05,414,0.2777777777777778,0.2008247106483017,-15.555590976320222,-15.533736311862205,183.0,0.1092896174863388,-11.334845799900993,231.0,0.41125541125541126,-4.220745176419227,1.0046374403364053,58.05532712181971
0.001,0.1,-0.15,253,0.25296442687747034,0.20030824866415842,-10.227689226673137,-10.226573489597488,121.0,0.1322314049586777,-7.870694051760536,132.0,0.36363636363636365,-2.3569951749126017,1.0046374403364053,58.05532712181971
0.0008,0.02,-0.15,580,0.18448275862068966,0.19926524031240295,-25.00064516439502,-24.958835474128126,468.0,0.14957264957264957,-22.72062948565882,112.0,0.33035714285714285,-2.2800156787362025,1.0046374403364053,58.05532712181971
0.0008,0.08,-0.05,458,0.27510917030567683,0.1986780513981259,-17.934289233042062,-17.912434568584032,227.0,0.13656387665198239,-13.713544056622833,231.0,0.41125541125541126,-4.220745176419227,1.0046374403364053,58.05532712181971
0.0008,0.05,-0.05,566,0.25265017667844525,0.1908590004952035,-22.439611882503534,-22.4177572180455,335.0,0.14328358208955225,-18.218866706084306,231.0,0.41125541125541126,-4.220745176419227,1.0046374403364053,58.05532712181971
0.0008,0.1,-0.08,387,0.25839793281653745,0.18712863253047174,-15.050219437685588,-15.044493998222537,183.0,0.1092896174863388,-11.334845799900993,204.0,0.39215686274509803,-3.7153736377845914,1.0046374403364053,58.05532712181971
0.0008,0.08,-0.08,431,0.25754060324825984,0.18675058956263998,-17.428917694407424,-17.423192254944375,227.0,0.13656387665198239,-13.713544056622833,204.0,0.39215686274509803,-3.7153736377845914,1.0046374403364053,58.05532712181971
