pair,strategy,direction,entry_time,entry_price,partial_exit_time,partial_exit_price,partial_pnl_pct,exit_time,exit_price,exit_reason,pnl_pct
AUDJPY,MEAN_REVERSION,SHORT,2026-04-27 12:05:00+00:00,114.46010510864258,,,,2026-04-27 12:10:00+00:00,114.51589481506348,state_change,-0.048741617324177255
AUDJPY,MEAN_REVERSION,SHORT,2026-04-27 17:30:00+00:00,114.60507275238038,,,,2026-04-27 17:50:00+00:00,114.60391748199463,midline,0.001008044720884893
AUDJPY,MEAN_REVERSION,LONG,2026-04-29 06:15:00+00:00,114.30685338134765,,,,2026-04-29 07:10:00+00:00,114.32413072204591,midline,0.015114877356148249
AUDJPY,TREND,LONG,2026-04-30 12:40:00+00:00,112.27945518493652,,,,2026-04-30 12:45:00+00:00,112.1715614440918,state_change,-0.09609392979954556
AUDJPY,TREND,LONG,2026-04-30 13:15:00+00:00,112.21044114074706,,,,2026-04-30 13:20:00+00:00,112.13556553192139,state_change,-0.0667278446323527
AUDJPY,TREND,LONG,2026-04-30 13:40:00+00:00,112.26144621276855,,,,2026-04-30 13:50:00+00:00,112.33852786102295,state_change,0.06866261824947095
AUDJPY,TREND,LONG,2026-04-30 14:55:00+00:00,112.64051981506347,,,,2026-04-30 15:00:00+00:00,112.64246791534424,state_change,0.001729484455470498
AUDJPY,TREND,SHORT,2026-04-30 16:10:00+00:00,112.39751416931152,,,,2026-04-30 16:15:00+00:00,112.50449865875244,state_change,-0.09518403519117591
AUDJPY,MEAN_REVERSION,LONG,2026-05-01 06:35:00+00:00,112.96558939361572,,,,2026-05-01 06:40:00+00:00,112.86442363739013,state_change,-0.08955448890997086
AUDJPY,TREND,SHORT,2026-05-01 06:45:00+00:00,112.06058358306885,,,,2026-05-01 06:50:00+00:00,112.0734127029419,state_change,-0.011448378602763043
AUDJPY,TREND,LONG,2026-05-01 14:00:00+00:00,112.97859248199462,,,,2026-05-01 14:05:00+00:00,112.94240333862305,state_change,-0.03203185893587701
AUDJPY,MEAN_REVERSION,SHORT,2026-05-04 06:10:00+00:00,113.02839230194093,,,,2026-05-04 06:30:00+00:00,112.99959277496338,midline,0.025479904996450475
AUDJPY,MEAN_REVERSION,SHORT,2026-05-04 21:00:00+00:00,112.71445211181641,,,,2026-05-04 21:05:00+00:00,112.61951952209472,midline,0.08422397300704709
AUDJPY,MEAN_REVERSION,LONG,2026-05-05 00:20:00+00:00,112.61352161865234,,,,2026-05-05 02:00:00+00:00,112.53049080352784,midline,-0.07373076867773776
AUDJPY,MEAN_REVERSION,LONG,2026-05-05 21:00:00+00:00,113.29365792388916,,,,2026-05-05 21:55:00+00:00,113.3653228881836,midline,0.06325593648197625
AUDJPY,TREND,LONG,2026-05-06 09:15:00+00:00,113.28465343780518,,,,2026-05-06 09:20:00+00:00,113.20135422363282,state_change,-0.07353089023491854
AUDJPY,TREND,SHORT,2026-05-06 10:20:00+00:00,113.05738583068847,,,,2026-05-06 10:25:00+00:00,113.14762499999999,state_change,-0.07981713768496768
AUDJPY,MEAN_REVERSION,SHORT,2026-05-08 04:50:00+00:00,113.27034066772461,,,,2026-05-08 07:00:00+00:00,113.31265891571044,midline,-0.03736039614286035
