pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session,combo,period,year_week
NZDUSD,long,2022-06-08 04:10:00,2022-06-08 04:15:00,-1029.277218664724,-0.2058554437329448,4,"東京
09-15JST","NZDUSD_東京
09-15JST",IS,2022_23
NZDUSD,long,2022-06-08 04:25:00,2022-06-08 04:30:00,-7235.872235871287,-1.4471744471742574,1,"東京
09-15JST","NZDUSD_東京
09-15JST",IS,2022_23
NZDUSD,long,2022-06-08 04:30:00,2022-06-08 04:35:00,-7339.331619536317,-1.4678663239072633,1,"東京
09-15JST","NZDUSD_東京
09-15JST",IS,2022_23
NZDUSD,long,2022-06-08 04:35:00,2022-06-08 04:40:00,-3642.42424242544,-0.728484848485088,3,"東京
09-15JST","NZDUSD_東京
09-15JST",IS,2022_23
GBPUSD,long,2022-06-08 08:00:00,2022-06-08 08:05:00,494.0898345157027,0.09881796690314054,2,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:15:00,2022-06-08 08:20:00,-5491.803278687995,-1.098360655737599,2,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:25:00,2022-06-08 08:30:00,-5620.689655173201,-1.1241379310346402,1,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:30:00,2022-06-08 08:35:00,-5592.9411764712095,-1.1185882352942418,1,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:40:00,2022-06-08 08:45:00,-4271.523178808421,-0.8543046357616843,3,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:45:00,2022-06-08 08:50:00,-4928.571428570829,-0.9857142857141659,2,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:50:00,2022-06-08 08:55:00,-2034.795763991783,-0.4069591527983566,2,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 08:55:00,2022-06-08 09:00:00,-5637.651821862327,-1.1275303643724655,1,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
AUDUSD,short,2022-06-08 09:00:00,2022-06-08 09:05:00,-3339.920948616097,-0.6679841897232194,2,"欧州
15-21JST","AUDUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 09:00:00,2022-06-08 09:05:00,11835.879743715117,2.3671759487430233,10,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
GBPUSD,long,2022-06-08 09:05:00,2022-06-08 09:10:00,11313.410346559142,2.262682069311828,9,"欧州
15-21JST","GBPUSD_欧州
15-21JST",IS,2022_23
