datetime,direction,move0_pip,has_e2,pnl1,pnl2,pnl_total,month
2022-07-21 14:50:00,sell,9.6,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-21 15:25:00,sell,11.2,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-21 16:00:00,buy,10.3,True,2360.0,2360.0,4720.0,2022-07
2022-07-22 06:55:00,sell,11.8,False,2360.0,0.0,2360.0,2022-07
2022-07-22 07:15:00,buy,18.8,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-22 07:35:00,buy,12.0,False,2360.0,0.0,2360.0,2022-07
2022-07-22 08:30:00,sell,13.3,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-22 10:10:00,buy,12.2,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-22 10:55:00,sell,16.5,False,2360.0,0.0,2360.0,2022-07
2022-07-22 11:20:00,buy,11.6,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-22 12:05:00,sell,9.6,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-22 13:35:00,sell,11.5,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-22 14:00:00,sell,9.7,False,2360.0,0.0,2360.0,2022-07
2022-07-22 14:15:00,sell,10.0,False,2360.0,0.0,2360.0,2022-07
2022-07-22 14:45:00,sell,15.7,False,2360.0,0.0,2360.0,2022-07
2022-07-22 15:00:00,buy,10.3,False,2360.0,0.0,2360.0,2022-07
2022-07-22 15:35:00,buy,11.3,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-22 16:00:00,buy,12.2,True,2360.0,2360.0,4720.0,2022-07
2022-07-22 17:55:00,sell,9.6,False,2360.0,0.0,2360.0,2022-07
2022-07-22 19:55:00,sell,11.0,False,2360.0,0.0,2360.0,2022-07
2022-07-25 06:45:00,sell,10.4,False,2360.0,0.0,2360.0,2022-07
2022-07-25 07:10:00,sell,10.1,False,2360.0,0.0,2360.0,2022-07
2022-07-25 08:00:00,sell,11.3,True,2360.0,2360.0,4720.0,2022-07
2022-07-25 08:35:00,sell,16.7,False,-10000.0,0.0,-10000.0,2022-07
2022-07-25 11:05:00,sell,10.7,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-25 12:05:00,sell,9.6,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-25 13:30:00,buy,9.3,False,2360.0,0.0,2360.0,2022-07
2022-07-25 14:25:00,buy,9.3,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-26 05:55:00,buy,10.3,False,2360.0,0.0,2360.0,2022-07
2022-07-26 06:50:00,buy,10.0,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-26 09:20:00,buy,9.5,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-26 10:10:00,buy,10.1,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-26 11:40:00,buy,9.6,False,2360.0,0.0,2360.0,2022-07
2022-07-26 12:30:00,sell,12.4,False,2360.0,0.0,2360.0,2022-07
2022-07-26 13:00:00,sell,12.2,False,2360.0,0.0,2360.0,2022-07
2022-07-26 13:30:00,buy,10.9,False,2360.0,0.0,2360.0,2022-07
2022-07-26 14:00:00,buy,9.7,False,2360.0,0.0,2360.0,2022-07
2022-07-26 14:15:00,sell,11.3,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-26 14:30:00,sell,9.8,True,2360.0,2360.0,4720.0,2022-07
2022-07-26 15:20:00,buy,13.3,True,2360.0,2360.0,4720.0,2022-07
2022-07-26 16:35:00,buy,15.6,False,2360.0,0.0,2360.0,2022-07
2022-07-26 17:30:00,buy,9.9,False,2360.0,0.0,2360.0,2022-07
2022-07-26 18:00:00,sell,10.4,False,2360.0,0.0,2360.0,2022-07
2022-07-27 07:00:00,sell,9.5,False,2360.0,0.0,2360.0,2022-07
2022-07-27 07:15:00,sell,13.4,False,2360.0,0.0,2360.0,2022-07
2022-07-27 08:50:00,sell,11.0,False,2360.0,0.0,2360.0,2022-07
2022-07-27 09:35:00,sell,10.3,False,2360.0,0.0,2360.0,2022-07
2022-07-27 13:00:00,buy,11.6,False,2360.0,0.0,2360.0,2022-07
2022-07-27 13:20:00,sell,10.8,False,2360.0,0.0,2360.0,2022-07
2022-07-27 14:05:00,buy,14.7,False,2360.0,0.0,2360.0,2022-07
2022-07-27 15:10:00,sell,12.1,True,2360.0,2360.0,4720.0,2022-07
2022-07-27 17:35:00,sell,10.4,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-27 17:55:00,buy,12.9,False,2360.0,0.0,2360.0,2022-07
2022-07-27 18:30:00,buy,25.1,False,2360.0,0.0,2360.0,2022-07
2022-07-27 18:50:00,sell,51.0,False,2360.0,0.0,2360.0,2022-07
2022-07-27 19:30:00,sell,11.4,False,2360.0,0.0,2360.0,2022-07
2022-07-28 01:30:00,sell,17.1,False,2360.0,0.0,2360.0,2022-07
2022-07-28 06:45:00,buy,14.0,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-28 07:20:00,buy,17.9,False,2360.0,0.0,2360.0,2022-07
2022-07-28 08:25:00,buy,10.1,False,2360.0,0.0,2360.0,2022-07
2022-07-28 09:00:00,buy,9.6,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-28 09:45:00,buy,11.2,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-28 10:40:00,buy,12.8,True,2360.0,2360.0,4720.0,2022-07
2022-07-28 12:05:00,buy,14.5,False,2360.0,0.0,2360.0,2022-07
2022-07-28 12:30:00,sell,19.6,True,2360.0,2360.0,4720.0,2022-07
2022-07-28 13:10:00,sell,21.9,True,2360.0,2360.0,4720.0,2022-07
2022-07-28 13:50:00,buy,19.8,False,2360.0,0.0,2360.0,2022-07
2022-07-28 14:40:00,buy,9.5,False,2360.0,0.0,2360.0,2022-07
2022-07-29 03:50:00,sell,15.5,False,2360.0,0.0,2360.0,2022-07
2022-07-29 06:10:00,sell,10.4,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 06:55:00,sell,10.2,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-29 07:10:00,buy,14.1,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-29 07:40:00,buy,9.8,False,2360.0,0.0,2360.0,2022-07
2022-07-29 08:00:00,buy,18.9,True,-10000.0,2360.0,-7640.0,2022-07
2022-07-29 08:35:00,buy,9.6,False,2360.0,0.0,2360.0,2022-07
2022-07-29 09:55:00,sell,9.9,False,2360.0,0.0,2360.0,2022-07
2022-07-29 11:45:00,buy,9.5,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 12:10:00,buy,9.6,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 12:30:00,buy,24.3,False,2360.0,0.0,2360.0,2022-07
2022-07-29 13:00:00,buy,15.0,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 13:15:00,buy,11.7,False,2360.0,0.0,2360.0,2022-07
2022-07-29 13:40:00,sell,12.6,False,2360.0,0.0,2360.0,2022-07
2022-07-29 13:55:00,sell,10.8,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 14:35:00,sell,18.0,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 14:50:00,sell,16.6,True,-10000.0,-10000.0,-20000.0,2022-07
2022-07-29 15:40:00,sell,16.1,True,2360.0,-10000.0,-7640.0,2022-07
2022-07-31 22:15:00,buy,12.0,False,2360.0,0.0,2360.0,2022-07
2022-08-01 06:30:00,sell,11.6,False,2360.0,0.0,2360.0,2022-08
2022-08-01 07:35:00,sell,10.9,False,2360.0,0.0,2360.0,2022-08
2022-08-01 08:55:00,sell,11.1,True,-10000.0,-10000.0,-20000.0,2022-08
2022-08-01 09:35:00,sell,10.4,False,2360.0,0.0,2360.0,2022-08
2022-08-01 10:15:00,sell,12.9,False,2360.0,0.0,2360.0,2022-08
2022-08-01 11:15:00,buy,9.7,True,2360.0,2360.0,4720.0,2022-08
2022-08-01 12:55:00,sell,10.6,False,2360.0,0.0,2360.0,2022-08
2022-08-01 13:15:00,sell,12.8,False,2360.0,0.0,2360.0,2022-08
2022-08-01 13:40:00,sell,9.5,False,2360.0,0.0,2360.0,2022-08
2022-08-01 14:30:00,sell,12.1,True,-10000.0,-10000.0,-20000.0,2022-08
2022-08-01 21:00:00,sell,10.0,False,2360.0,0.0,2360.0,2022-08
2022-08-02 00:35:00,sell,20.2,False,2360.0,0.0,2360.0,2022-08
2022-08-02 01:35:00,buy,11.0,True,-6652.0,2360.0,-4292.0,2022-08
2022-08-02 07:05:00,buy,9.6,True,2360.0,-10000.0,-7640.0,2022-08
2022-08-02 13:15:00,buy,10.4,True,-10000.0,2360.0,-7640.0,2022-08
2022-08-02 13:30:00,sell,15.7,False,2360.0,0.0,2360.0,2022-08
2022-08-02 13:45:00,buy,12.5,False,2360.0,0.0,2360.0,2022-08
2022-08-02 14:00:00,buy,18.6,True,2360.0,2360.0,4720.0,2022-08
2022-08-02 15:10:00,buy,10.0,False,2360.0,0.0,2360.0,2022-08
2022-08-03 06:20:00,buy,12.4,False,2360.0,0.0,2360.0,2022-08
2022-08-03 07:10:00,sell,10.0,True,-10000.0,-10000.0,-20000.0,2022-08
2022-08-03 08:40:00,buy,9.8,False,2360.0,0.0,2360.0,2022-08
2022-08-03 11:20:00,sell,9.5,True,2360.0,2360.0,4720.0,2022-08
2022-08-03 14:00:00,buy,17.8,True,-10000.0,2360.0,-7640.0,2022-08
2022-08-03 14:15:00,buy,11.7,False,2360.0,0.0,2360.0,2022-08
2022-08-03 14:30:00,buy,12.1,False,2360.0,0.0,2360.0,2022-08
2022-08-03 15:20:00,sell,9.6,False,2360.0,0.0,2360.0,2022-08
2022-08-03 16:20:00,sell,10.3,False,2360.0,0.0,2360.0,2022-08
2022-08-04 00:00:00,sell,9.5,False,2360.0,0.0,2360.0,2022-08
2022-08-04 01:15:00,sell,10.2,False,2360.0,0.0,2360.0,2022-08
2022-08-04 05:55:00,buy,9.9,False,2360.0,0.0,2360.0,2022-08
2022-08-04 08:20:00,buy,9.4,True,-10000.0,2360.0,-7640.0,2022-08
2022-08-04 08:50:00,sell,12.1,True,-4025.0,-10000.0,-14025.0,2022-08
2022-08-04 10:30:00,buy,10.7,False,2360.0,0.0,2360.0,2022-08
2022-08-04 11:00:00,buy,53.4,True,-6376.0,2360.0,-4016.0,2022-08
2022-08-04 11:40:00,buy,13.6,True,-10000.0,-10000.0,-20000.0,2022-08
2022-08-04 11:55:00,sell,14.7,False,2360.0,0.0,2360.0,2022-08
2022-08-04 12:10:00,sell,13.7,False,2360.0,0.0,2360.0,2022-08
2022-08-04 12:30:00,sell,22.8,True,-3011.0,2360.0,-651.0,2022-08
2022-08-04 13:20:00,sell,10.6,False,2360.0,0.0,2360.0,2022-08
2022-08-04 13:40:00,sell,13.5,False,2360.0,0.0,2360.0,2022-08
2022-08-04 14:05:00,sell,11.1,True,2360.0,-10000.0,-7640.0,2022-08
2022-08-04 15:15:00,sell,12.7,True,-10000.0,2360.0,-7640.0,2022-08
2022-08-05 01:45:00,sell,12.8,False,2360.0,0.0,2360.0,2022-08
2022-08-05 10:55:00,sell,11.3,False,2360.0,0.0,2360.0,2022-08
2022-08-05 12:30:00,buy,59.2,True,-8808.0,-10000.0,-18808.0,2022-08
2022-08-05 13:10:00,buy,12.3,True,-10000.0,-10000.0,-20000.0,2022-08
2022-08-05 13:25:00,sell,12.6,True,-10000.0,2360.0,-7640.0,2022-08
2022-08-05 14:10:00,sell,10.5,True,2360.0,2360.0,4720.0,2022-08
2022-08-05 14:35:00,sell,9.9,False,2360.0,0.0,2360.0,2022-08
2022-08-05 15:20:00,buy,13.3,False,2360.0,0.0,2360.0,2022-08
2022-08-05 17:10:00,sell,10.0,False,2360.0,0.0,2360.0,2022-08
2022-08-08 08:00:00,buy,11.6,False,2360.0,0.0,2360.0,2022-08
