pair,base,quote,session,全BreakDown_n,全BreakDown_mean,全BreakDown_skew,Q25_n,Q25_mean,Q25_skew,Q10_n,Q10_mean,Q10_skew,Q10+ac>0_n,Q10+ac>0_mean,Q10+ac>0_skew,Q10+ac<0_n,Q10+ac<0_mean,Q10+ac<0_skew
AUDJPY,AUD,JPY,"NY
21-03JST",20236,0.0016342940039005503,0.05161954200333085,6984,-0.0011979690703324134,0.4592927406582794,3307,-0.00532567914301516,1.0665248271270327,1231,-0.008915057623464673,0.46551130845038663,2076,-0.0031972952752726985,1.3696072293021828
AUDJPY,AUD,JPY,"深夜
03-09JST",18991,0.002040805285078079,-1.5692939740211156,3932,0.003638237483277304,-1.5955195356527951,1216,0.0006328789125932274,-1.3341249660635461,496,0.007780183952733326,0.2689688751928748,720,-0.004290820115058841,-2.4417257762120315
NZDJPY,NZD,JPY,"東京
09-15JST",20109,0.0020400328889962015,-0.38448243329768556,6558,0.003762662385632824,-0.3190770342433372,2600,0.003953859206650783,-1.10671944235089,994,0.013618084057608565,0.7979495342535573,1606,-0.002027609972584608,-2.2348260016726753
NZDJPY,NZD,JPY,"欧州
15-21JST",20470,0.002756560390766021,1.6945981986019998,6619,0.0015762448005533325,0.05444110549016135,2804,0.0006654174143410955,0.11633786079567346,1096,-0.008433125030435036,-0.5015945675195805,1708,0.006503826383588538,0.3905167219132756
NZDJPY,NZD,JPY,"NY
21-03JST",20301,0.0012636571776787685,-0.2779418529178414,6965,0.0014810984437834867,0.15340070671921605,3230,0.0017992225260133475,0.7469134424006132,1218,0.00570705714684774,1.1122225553188338,2012,-0.0005664546947502169,0.47769049466801083
NZDJPY,NZD,JPY,"深夜
03-09JST",19087,0.0024230046559774827,-0.9865735481491693,4078,0.0033169406341253104,-1.3654158198547641,1419,-0.0022186360401156673,-1.4125356219951368,582,-0.0013768251485702517,0.12572308177228886,837,-0.0028039812478569217,-2.543035257657619
CHFJPY,CHF,JPY,"東京
09-15JST",19983,0.0012395249054028444,-1.852177372227857,5981,0.0025113658117053416,-2.4570146639093413,2256,0.0030131883780644473,-0.5733912840772658,805,-0.004338913423946182,-0.9795490857919673,1451,0.007092059467394945,0.016783630091567643
CHFJPY,CHF,JPY,"欧州
15-21JST",20530,0.00227479926650361,0.48893883052852904,6943,0.0025130851842249556,0.7166574794430651,3099,0.0009219109111841584,0.43078239695717596,1262,0.002714380851839158,0.6413958335265647,1837,-0.0003094973986180247,0.28245047079368163
CHFJPY,CHF,JPY,"NY
21-03JST",20298,0.002618011003516867,-0.29327446534249046,7023,0.0024343449623278803,0.8137470263570116,3387,6.503169654039685e-05,0.9024894495888923,1259,-0.003056033097420208,0.4979673695488294,2128,0.0019115639219146451,1.1566669884664427
CHFJPY,CHF,JPY,"深夜
03-09JST",19087,0.0029307459002515415,-1.2004838617051825,3818,0.0072778815900527314,-4.515269180678135,1126,0.0038891161553728515,-3.773341415515295,365,0.011121126882640619,0.44681293534887173,761,0.00042041193007359386,-4.824476973435101
GBPUSD,GBP,USD,"東京
09-15JST",20049,0.0012025540307109479,0.8887641074996017,4937,0.003967691997184051,0.28609766992095514,1270,0.007865758662521614,0.17546301712163972,483,0.011250889369626375,0.6204003500131137,787,0.005788226093866468,-0.12915452113593287
