pair,base,quote,session,horizon,group,n,mean,skew,kurt
CHFJPY,CHF,JPY,NY   21-03JST,24,Q10+ac<0,2128,0.0003233788068847095,0.08357434662543047,5.966867924509035
CHFJPY,CHF,JPY,深夜 03-09JST,1,全BreakDown,19090,0.0009421334716121279,1.5636538015960515,71.83973792718412
CHFJPY,CHF,JPY,深夜 03-09JST,1,Q10,1126,0.0013831517785293608,2.0017324072373,51.99081791289029
CHFJPY,CHF,JPY,深夜 03-09JST,1,Q10+ac>0,365,0.004039514498602933,0.12800841964413368,9.52111766215264
CHFJPY,CHF,JPY,深夜 03-09JST,1,Q10+ac<0,761,0.00010907504682521666,2.3366375083322333,54.55889058862835
CHFJPY,CHF,JPY,深夜 03-09JST,3,全BreakDown,19088,0.0018035538719408774,-2.247183889549935,103.5144513290527
CHFJPY,CHF,JPY,深夜 03-09JST,3,Q10,1126,0.0022898629022196663,-3.6806730322553043,60.667142739702484
CHFJPY,CHF,JPY,深夜 03-09JST,3,Q10+ac>0,365,0.010319151118756103,1.2995800202785133,8.857552278771257
CHFJPY,CHF,JPY,深夜 03-09JST,3,Q10+ac<0,761,-0.0015612411701007016,-4.410016659849767,62.06228179755351
CHFJPY,CHF,JPY,深夜 03-09JST,6,全BreakDown,19087,0.0029819092441555834,-1.039239723284835,102.50442803846312
CHFJPY,CHF,JPY,深夜 03-09JST,6,Q10,1126,0.003557656111245709,-3.752155097663963,53.00560886642011
CHFJPY,CHF,JPY,深夜 03-09JST,6,Q10+ac>0,365,0.010728284296498924,0.425404958966755,8.80044275933828
CHFJPY,CHF,JPY,深夜 03-09JST,6,Q10+ac<0,761,0.00011839292120967331,-4.777639850949319,60.15716497315433
CHFJPY,CHF,JPY,深夜 03-09JST,12,全BreakDown,19085,0.0057212552360635235,-1.3063930385558675,73.56452942895501
CHFJPY,CHF,JPY,深夜 03-09JST,12,Q10,1126,0.014660578362584983,-1.004724115078087,20.77693123727828
CHFJPY,CHF,JPY,深夜 03-09JST,12,Q10+ac>0,365,0.019516409624862136,0.4378600319012396,2.5034850236087403
CHFJPY,CHF,JPY,深夜 03-09JST,12,Q10+ac<0,761,0.012331565996315387,-1.3792374335668545,24.208580081930016
CHFJPY,CHF,JPY,深夜 03-09JST,24,全BreakDown,19082,0.011661198068851812,0.8584475641295861,25.090327711861583
CHFJPY,CHF,JPY,深夜 03-09JST,24,Q10,1126,0.0361083233008238,0.3933901531004923,4.336799460518324
CHFJPY,CHF,JPY,深夜 03-09JST,24,Q10+ac>0,365,0.04989175306380706,0.7212993264503033,1.6053195701329308
CHFJPY,CHF,JPY,深夜 03-09JST,24,Q10+ac<0,761,0.02949734844735615,0.2724435826102937,5.354870309785076
GBPUSD,GBP,USD,東京 09-15JST,1,全BreakDown,20049,0.00011968424368205286,-0.2974804629900063,17.33283624942374
GBPUSD,GBP,USD,東京 09-15JST,1,Q10,1270,0.001568051505690995,-0.20731612324917822,2.525294052947319
GBPUSD,GBP,USD,東京 09-15JST,1,Q10+ac>0,483,0.000356337233467577,-0.38889273240285777,2.3923367438372196
GBPUSD,GBP,USD,東京 09-15JST,1,Q10+ac<0,787,0.0023117084224431052,-0.05214173445770031,2.5382983511807664
GBPUSD,GBP,USD,東京 09-15JST,3,全BreakDown,20049,0.000685244252025771,0.2542463709786482,197.03893478442012
GBPUSD,GBP,USD,東京 09-15JST,3,Q10,1270,0.004765751900615233,0.07396435825356988,4.101350488432985
GBPUSD,GBP,USD,東京 09-15JST,3,Q10+ac>0,483,0.006071461346627001,0.13094714481651298,4.703088170702318
GBPUSD,GBP,USD,東京 09-15JST,3,Q10+ac<0,787,0.003964407983939649,-0.0012093133241120402,3.0751255871437913
GBPUSD,GBP,USD,東京 09-15JST,6,全BreakDown,20049,0.0011527060357905512,1.5477182452239275,84.49686625087789
GBPUSD,GBP,USD,東京 09-15JST,6,Q10,1270,0.00761636412569315,0.13850782284056776,4.6779680209920045
GBPUSD,GBP,USD,東京 09-15JST,6,Q10+ac>0,483,0.011242745997352147,0.6254327477717833,4.317107362980346
GBPUSD,GBP,USD,東京 09-15JST,6,Q10+ac<0,787,0.005390770168880831,-0.20350545352856947,4.825741087337561
GBPUSD,GBP,USD,東京 09-15JST,12,全BreakDown,20049,0.002290560061902788,0.37576946297051456,56.82738059902389
GBPUSD,GBP,USD,東京 09-15JST,12,Q10,1270,0.01711771940594962,0.8670465854961166,5.171915836888999
GBPUSD,GBP,USD,東京 09-15JST,12,Q10+ac>0,483,0.025661310825704258,0.8296635473552318,1.9366139515730199
GBPUSD,GBP,USD,東京 09-15JST,12,Q10+ac<0,787,0.011874320859899442,0.9187001362650751,6.541096366666453
GBPUSD,GBP,USD,東京 09-15JST,24,全BreakDown,20049,0.0027177762226684183,0.16106390318747718,27.21625680025624
GBPUSD,GBP,USD,東京 09-15JST,24,Q10,1270,0.01867561779925868,0.5075496141541272,4.213432090134166
GBPUSD,GBP,USD,東京 09-15JST,24,Q10+ac>0,483,0.012068725157664372,0.102809726231618,4.717998204196581
GBPUSD,GBP,USD,東京 09-15JST,24,Q10+ac<0,787,0.022730419763540826,0.7924263558882415,3.779622101056349
GBPUSD,GBP,USD,欧州 15-21JST,1,全BreakDown,20707,-0.00026874825450240897,-0.2787273382296343,6.339097744834165
GBPUSD,GBP,USD,欧州 15-21JST,1,Q10,3096,-0.0007850730537771482,-0.5910585726849951,4.273491897910679
GBPUSD,GBP,USD,欧州 15-21JST,1,Q10+ac>0,1236,-0.0015836521638329744,-0.8720203744500956,5.111712337403045
GBPUSD,GBP,USD,欧州 15-21JST,1,Q10+ac<0,1860,-0.0002544043548368251,-0.3853012651897635,3.6140193457070877
GBPUSD,GBP,USD,欧州 15-21JST,3,全BreakDown,20707,-0.0003005384855104685,-0.5877250786329448,15.545242941811715
GBPUSD,GBP,USD,欧州 15-21JST,3,Q10,3096,-0.0012619845103929667,-0.41420896023835946,5.01272128986821
GBPUSD,GBP,USD,欧州 15-21JST,3,Q10+ac>0,1236,-0.001494930643467743,-0.7591117577787124,6.776357293680153
GBPUSD,GBP,USD,欧州 15-21JST,3,Q10+ac<0,1860,-0.0011071880477690832,-0.15885540452258348,3.642217851052145
GBPUSD,GBP,USD,欧州 15-21JST,6,全BreakDown,20707,-0.00019925217718516739,-0.7084655240015192,15.454893186088832
GBPUSD,GBP,USD,欧州 15-21JST,6,Q10,3096,-0.0002774490465736605,0.10856835092461624,4.691926953124644
GBPUSD,GBP,USD,欧州 15-21JST,6,Q10+ac>0,1236,-0.0020925473333146876,-0.19728713503965223,3.6638837339596018
GBPUSD,GBP,USD,欧州 15-21JST,6,Q10+ac<0,1860,0.0009287130407445702,0.33218704896793977,5.4276109764884914
GBPUSD,GBP,USD,欧州 15-21JST,12,全BreakDown,20707,-0.0025791721661874837,-0.6690478640542146,9.307710491628686
GBPUSD,GBP,USD,欧州 15-21JST,12,Q10,3096,-0.00303868672871293,-0.1472958966498258,3.7218203112501014
GBPUSD,GBP,USD,欧州 15-21JST,12,Q10+ac>0,1236,-0.01089185605840053,-0.47153638489060323,2.466169476265886
GBPUSD,GBP,USD,欧州 15-21JST,12,Q10+ac<0,1860,0.0021798709548859273,0.19404014668348968,4.780585580408241
GBPUSD,GBP,USD,欧州 15-21JST,24,全BreakDown,20707,-0.005162461521059099,-0.2013804754062223,7.300455556937944
GBPUSD,GBP,USD,欧州 15-21JST,24,Q10,3096,-0.004042991682365596,0.783350379988465,8.794867545461791
GBPUSD,GBP,USD,欧州 15-21JST,24,Q10+ac>0,1236,-0.01321279614313982,0.01980677314818108,4.962099533032399
GBPUSD,GBP,USD,欧州 15-21JST,24,Q10+ac<0,1860,0.002050491281890819,1.3334000720601176,11.48276367335431
GBPUSD,GBP,USD,NY   21-03JST,1,全BreakDown,20430,9.66833865815769e-06,-0.10893011109830142,33.815373381641216
GBPUSD,GBP,USD,NY   21-03JST,1,Q10,4225,3.3585128202597834e-05,-0.11544469772065688,3.6383886110097396
GBPUSD,GBP,USD,NY   21-03JST,1,Q10+ac>0,1507,0.00023792643247750816,0.1017145296574223,3.3096859169951385
GBPUSD,GBP,USD,NY   21-03JST,1,Q10+ac<0,2718,-7.971227633834739e-05,-0.2181153865540381,3.762733448078648
GBPUSD,GBP,USD,NY   21-03JST,3,全BreakDown,20430,0.0003290795113451854,0.11483039715336905,24.252367239041952
GBPUSD,GBP,USD,NY   21-03JST,3,Q10,4225,0.0009868667167542398,-0.22401216712809302,6.582629197807099
GBPUSD,GBP,USD,NY   21-03JST,3,Q10+ac>0,1507,-0.0002808663198010368,-0.19045170947540693,2.075362246289118
GBPUSD,GBP,USD,NY   21-03JST,3,Q10+ac<0,2718,0.0016897635843365808,-0.2409239154537977,8.087925624707578
GBPUSD,GBP,USD,NY   21-03JST,6,全BreakDown,20430,5.73462796707453e-05,0.09582288100581896,16.17208532399708
GBPUSD,GBP,USD,NY   21-03JST,6,Q10,4225,0.0013779004113847605,0.08461379739846214,5.39767656030209
